#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique (et envers de la carte)	Allemand::Divers	Comme, de même que	Wie auch
Basique (et envers de la carte)	Allemand::Divers	Particulièrement/surtout	Besonders
Basique (et envers de la carte)	Allemand::Divers	Beide	Les deux
Basique (et envers de la carte)	Allemand::Divers	Deshalb	Pour cela (cause / conséquence)
Basique (et envers de la carte)	Allemand::Divers	Solch	Tel/pareil
Basique (et envers de la carte)	Allemand::Divers	Bis zum	D'ici à / avant
Basique (et envers de la carte)	Allemand::Divers	Ab	À partir de
Basique (et envers de la carte)	Allemand::Divers	Noch	Encore (Ne s'est pas arrêté)
Basique (et envers de la carte)	Allemand::Divers	Etwas	Quelque \text{ch}ose
Basique (et envers de la carte)	Allemand::Divers	Darüber	Au-dessus (position) / à ce sujet
Basique (et envers de la carte)	Allemand::Divers	Noch einmal	Encore une fois
Basique (et envers de la carte)	Allemand::Divers	Gestern	Hier
Basique (et envers de la carte)	Allemand::Divers	Ganz	Complet/Entier
Basique (et envers de la carte)	Allemand::Divers	Leider	Malheureusement
Basique (et envers de la carte)	Allemand::Divers	Nur	Seulement
Basique (et envers de la carte)	Allemand::Divers	Mit ... Jahren	À ... ans
Basique (et envers de la carte)	Allemand::Divers	Wegen + Gen	À cause de
Basique (et envers de la carte)	Allemand::Divers	Einfach	Simple
Basique (et envers de la carte)	Allemand::Divers	Manchmal	Parfois
Basique (et envers de la carte)	Allemand::Divers	Oft	Souvent
Basique (et envers de la carte)	Allemand::Divers	Assez	Genug
Basique (et envers de la carte)	Allemand::Divers	Ein paar	Quelques
Basique (et envers de la carte)	Allemand::Divers	Ein bisschen	Un peu
Basique (et envers de la carte)	Allemand::Divers	Möglich	Possible
Basique (et envers de la carte)	Allemand::Divers	Um ... (Uhr)	À ... (Heure)
Basique (et envers de la carte)	Allemand::Divers	An ... (Temps)	À ... (Jour)
Basique (et envers de la carte)	Allemand::Divers	Bei ... (Temps)	À ... (Événement)
Basique (et envers de la carte)	Allemand::Divers	Von	De / par (personne)
Basique (et envers de la carte)	Allemand::Divers	Durch	Par (moyen)
Basique (et envers de la carte)	Allemand::Divers	Vor (temps)	Il y a
Basique (et envers de la carte)	Allemand::Divers	Vor (position)	Devant
Basique (et envers de la carte)	Allemand::Divers	Dort	Là-bas
Basique (et envers de la carte)	Allemand::Divers	Seit	Depuis
Basic	Allemand::Divers	Fast	Presque
Basique (et envers de la carte)	Allemand::Divers	Wesentlich	Essentiellement
Basic	Allemand::Divers	(Ne pas) Avoir besoin de + GN	Etw (nicht) brauchen
Basic	Allemand::Divers	Avoir besoin de +GV	müssen
Basic	Allemand::Divers	Ne pas avoir besoin de +GV	nicht brauchen / müssen
Basic	Allemand::Divers	Déclinaison du nom	Au génitif masculin et neutre : -s avec e intercalaire après s, ß, z ou tz Au datif pluriel : -n sauf si pluriel déja en n, ou mot étranger au pluriel en s ou a
Basique (et envers de la carte)	Allemand::Divers	Wahr	Vrai
Basique	Allemand::Divers	Déjà	Schon
