#separator:tab
#html:false
#notetype column:1
#deck column:2
Q/R exemple	Allemand::Négations	Nicht mehr, kein mehr	Ne plus	Es ist nicht mehr möglich.
Q/R exemple	Allemand::Négations	Nicht einmal	Même pas, pas même	Sie hat mich nicht einmal zu meinem Geburtstag angerufen.
Q/R exemple	Allemand::Négations	Gar nicht, gar kein	Pas du tout, absolument pas	Es hat mir gar nicht gefallen.
Q/R exemple	Allemand::Négations	Überhaupt nicht, überhaupt kein	Pas du tout, absolument pas	Es ist überhaupt kein Problem.
Q/R exemple	Allemand::Négations	Noch nicht, noch kein	Pas encore	Er ist noch nicht da.
Q/R exemple	Allemand::Négations	Nicht nur ..., Sondern auch ...	Non seulement, mais encore	Das Buch ist nicht nur spannend, sondern auch gut dokumentiert.
Q/R exemple	Allemand::Négations	Nie, niemals	Jamais	Ich war nie in Afrika.
Q/R exemple	Allemand::Négations	Niemand, keiner	Personne	Kann dir keiner helfen?
Q/R exemple	Allemand::Négations	Nirgendwo, nirgends	Nulle part	Nirgendwo schmeckt das Bier besser.
Q/R exemple	Allemand::Négations	Nirgendwohin, nirgendwoher	Nulle part : direction ou provenance	Diese Politik führt nirgendwohin.
Q/R exemple	Allemand::Négations	Nichts 	Rien	Damit habe nichts zu tun.
Q/R exemple	Allemand::Négations	Weder ... Noch ...	Ni ... Ni ...	Er mag weder Tennis noch Squash.
