#separator:tab
#html:false
#notetype column:1
#deck column:2
Rection verbe utile	Allemand::Rection verbes	Sich abfinden	Mit + D	Se faire une raison de	Ich kann mich nur schwer damit abfinden, dass er jetzt im Ausland lebt.
Rection verbe utile	Allemand::Rection verbes	Abhängen	von + D	dépendre de	Meine Schwester hängt finanziell immer noch von unseren Eltern ab.
Rection verbe utile	Allemand::Rection verbes	Achten	Auf + A	Faire attention à	Achten Sie bitte auf die Durchsage!
Rection verbe utile	Allemand::Rection verbes	anfangen	mit + D	commencer qch./par qch.	Ich habe vor drei Monaten mit meiner Diplomarbeit angefangen
Rection verbe utile	Allemand::Rection verbes	ankommen	auf + A	dépendre de	Es kommt auf darauf an, wann er kann
Rection verbe utile	Allemand::Rection verbes	anspielen	auf + A	faire allusion à	Er hat mehrmals auf seine Vergangenheit angespielt.
Rection verbe utile	Allemand::Rection verbes	antworten	auf + A	répondre à	Antworten Sie bitte auf folgende fragen!
Rection verbe utile	Allemand::Rection verbes	arbeiten	an + D	travailler à	Er arbeitet an einem neuen Projekt.
Rection verbe utile	Allemand::Rection verbes	sich ärgern	über + A	se fâcher au sujet de	Warum ärgerst du dich über ihn?
Rection verbe utile	Allemand::Rection verbes	aufhören	mit + D	arrêter qch.	Kannst du bitte mit dem Krach aufhören!
Rection verbe utile	Allemand::Rection verbes	aufpassen	auf + A	surveiller qn., faire attention à	Könntest du bitte heute Abend auf die Kinder aufpassen?
Rection verbe utile	Allemand::Rection verbes	sich aufregen	über + A	s'énerver au sujet de	Die Leute regen sich über die hohen Benzinpreise auf.
Rection verbe utile	Allemand::Rection verbes	jn. beauftragen	mit + D	charger qn. de qch.	Der Praktikant wurde mit der Ausarbeitung des Projekts beauftragt.
Rection verbe utile	Allemand::Rection verbes	sich bedanken	bei + D/für + A	Remercier qn. pour	Er hat sich bei seinen Freunden für das Geschenk bedankt.
Rection verbe utile	Allemand::Rection verbes	beginnen	mit + D	Commencer qch./par qch.	Die Schauspieler haben mit der Probe begonnen.
Rection verbe utile	Allemand::Rection verbes	beitragen	zu + D	contribuer à	Gandhi hat zur Aufrechterhaltung des Friedens beigetragen
Rection verbe utile	Allemand::Rection verbes	sich bemühen	um + A	s'efforcer d'atteindre qch., travailler à	Willy Brandt bemühte sich um eine Verbesserung der Ost-West-Beziehungen.
Rection verbe utile	Allemand::Rection verbes	jn. beneiden	um + A	envier qch. à qn.	Er beneidet sie um ihre Selbstsicherheit.
Rection verbe utile	Allemand::Rection verbes	berichten	über + A	rendre compte de	Der Reporter berichtet in den Nachrichten über die Lage in Israel.
Rection verbe utile	Allemand::Rection verbes	berichten	von + D	Parler de qch., rapporter qch.	Der Journalist berichtete von den Ereignissen in Südafrika.
Rection verbe utile	Allemand::Rection verbes	beruhen	auf + D	reposer sur	Demokratie beruht auf Transparenz
Rection verbe utile	Allemand::Rection verbes	sich beschäftigen	mit + D	s'occuper de, travailler sur	Unser Labor beschäftigt sich mit Nanotechnologien
Rection verbe utile	Allemand::Rection verbes	sich beschränken	auf + A	se limiter à	Beschränken Sie sich bitte auf das Notwendigste!
Rection verbe utile	Allemand::Rection verbes	sich beschweren	bei + D / über + A	se plaindre de qch., auprès de qn.	Der Nachbar beschwerte sich bei mir über den Lärm.
Rection verbe utile	Allemand::Rection verbes	bestehen	auf + D	insister sur	Die Arbeiter bestanden auf einer Gehaltserhöhung.
Rection verbe utile	Allemand::Rection verbes	bestehen	in + D	consister en	Seine Arbeit besteht darin, neue Kunden zu werben.
Rection verbe utile	Allemand::Rection verbes	sich bewerben	um + A	se porter candidat à	Der Student hat sich um einen Studienplatz in München beworben
Rection verbe utile	Allemand::Rection verbes	bezeichnen	als + A	qualifier de, désigner comme	Sie bezeichnet sich als Künstlerin
Rection verbe utile	Allemand::Rection verbes	sich beziehen	auf + A	se référer à	In seiner Arbeit bezieht sich der Philosoph oft auf Marx.
Rection verbe utile	Allemand::Rection verbes	jn. bitten	um + A	demander qch. à qn. (service / objet)	Darf ich Sie um einen Gefallen bitten?
Rection verbe utile	Allemand::Rection verbes	jm. danken	für + A	remercier qn. pour	Ich danke Ihnen für Ihre Hilfe
Rection verbe utile	Allemand::Rection verbes	denken	an + A	penser à	Du denkst immer nur an dich.
Rection verbe utile	Allemand::Rection verbes	denken	über + A	penser de	Was denken Sie über die deutsche Zuwanderungspolitik?
Rection verbe utile	Allemand::Rection verbes	diskutieren	mit + D / über + A	discuter de, avec qn.	Mit ihm diskutiere ich gern über Kunst.
