#separator:tab
#html:false
#notetype column:1
#deck column:2
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_001_Elementary_001		to get in/to get on	to enter or to board a vehicle	To get in is used for cars; to get on is used for all other forms of transportation.	It's easiest to get in the car from the driver's side. The door on the other side doesn't work well. I always get on the bus to work at 34th Street.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_002_Elementary_002		to get out of/to get off	to leave or to descend from a vehicle	To get out of is used for cars; to get off is used for all other forms of transportation.	Why don't we stop and get out of the car for a while? Helen got off the train at the 42nd Street terminal.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_003_Elementary_003		to put on	to place on oneself (usually said of clothes) (S)		Mary put on her coat and left the room.  Put your hat on before you leave the house.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_004_Elementary_004		to take off	to remove (usually said of clothes) (S)		John took off his jacket as he entered the office.  Take your sweater off. The room is very warm.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_005_Elementary_005		to call up	to telephone (also: to give someone a call) (S)	To call can be used instead of to call up, as in the first example below.	I forgot to call up Mr. Jones yesterday. I'd better call him now.  Call me up tomorrow, Jane. We'll arrange a time to have lunch together. I promise to give you a call as soon as I arrive in New York.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_006_Elementary_006		to turn on	to start or cause to function (also: to switch on) (S)		Please turn on the light; it's too dark in here. Do you know who turned the air conditioning on?
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_007_Elementary_007		to turn off	to cause to stop functioning (also: to switch off, to shut off) (S)	Turn on and turn off, as well as their related forms, are used for things that flow, such as electricity, water, gas, etc.	Please turn off the light when you leave the room. Are you really listening to the radio, or should I turn it off?
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_008_Elementary_008		right away	very soon; immediately (also: at once)		Dad says that dinner will be ready right away, so we'd better wash our hands and set the table. Tell Will to come to my office right away. I must see him immediately. Stop playing that loud music at once!
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_009_Elementary_009		to pick up	to lift from the floor, table, etc., with one's fingers (S)		Harry picked up the newspaper that was on the front doorstep. Could you pick your toy up before someone falls over it?
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_010_Elementary_010		sooner or later	eventually, after a period of time		If you study English seriously, sooner or later you'll become fluent. I'm too tired to do my homework now; I'm sure I'll do it sooner or later.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_011_Elementary_011		to get up	to arise, to rise from a bed; to make someone arise (S)	For the last definition a noun phrase must separate the verb and particle.	Carla gets up at seven o'clock every morning. At what time should we get the children up tomorrow?
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_012_Elementary_012		at first	in the beginning, originally		At first English was difficult for him, but later he made great progress. I thought at first that it was Sheila calling, but then I realized that it was Betty.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_013_Elementary_013		to dress up	to wear formal clothes, to dress very nicely		We should definitely dress up to go to the theater. You don't have to dress up for Mike's party.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_014_Elementary_014		at last	finally, after a long time		We waited for hours and then the train arrived at last. Now that I am sixteen, at last I can drive my parents' car.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_015_Elementary_015		as usual	as is the general case, as is typical		George is late for class as usual. This seems to happen every day.  As usual, Dora received first prize in the swimming contest. It's the third consecutive year that she has won.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_016_Elementary_016		to find out	get information about, to determine (S)	This idiom is separable only when a pronoun is used, as in the second example.	Will you please try to find out what time the airplane arrives? I'll call right now to find it out.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_017_Elementary_017		to look at	give one's attention to; to watch		The teacher told us to look at the blackboard and not at our books. I like to walk along a country road at night and look at the stars.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_018_Elementary_018		to look for	to try to find, to search for	An adverb phrase such as all over can be put between the verb and preposition, as in the second example, however, the idiom cannot be separated by a noun or pronoun.	He's spent over an hour looking for the pen that he lost. So there you are! We've looked all over for you.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_019_Elementary_019		all right	acceptable, fine; yes, okay	This idiom can also be spelled alright in informal usage.	He said that it would be all right to wait in her office until she returned. Do you want me to turn off the TV? Alright, if you insist.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_020_Elementary_020		all along	all the time, from the beginning (without change)		She knew all along that we'd never agree with his plan. You're smiling! Did you know all along that I'd give you a birthday present?
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_021_Elementary_021		little by little	gradually, slowly (also: step by step)		Karen's health seems to be improving little by little. If you study regularly each day, step by step your vocabulary will increase.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_022_Elementary_022		to tire out	to make very weary due to difficult conditions or hard effort (also: to wear out) (S)		The hot weather tired out the runners in the marathon. Does studying for final exams wear you out? It makes me feel worn out!
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_023_Elementary_023		to call on	to ask for a response from; to visit (also: to drop in on)		Jose didn't know the answer when the teacher called on him. Last night several friends called on us at our home. Why don't we drop in on Sally a little later?
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_024_Elementary_024		never mind	don't be concerned about it; ignore what was just said		"When he spilled his drink on my coat, I said, ""Never mind. It needs to be cleaned anyway."" So you weren't listening to me again. Never mind; it wasn't important."
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_025_Elementary_025		to pick out	to choose, to select (S)		Ann picked out a good book to give to her brother as a graduation gift. Johnny, if you want me to buy you a toy, then pick one out now.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_026_Elementary_026		to take one's (my, his, your, etc.) time	to do without rush, not to hurry	This idiom is often used in the imperative form. (See the first example)	There's no need to hurry doing those exercises. Take your time. William never works rapidly. He always takes his time in everything that he does.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_027_Elementary_027		to talk over	to discuss or consider a situation with others (S)		We talked over Carla's plan to install an air conditioner in the room, but we couldn't reach a decision. Before I accepted the new job offer, I talked the matter over with my wife.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_028_Elementary_028		to lie down	to place oneself in a flat position, to recline		If you are tired, why don't you lie down for an hour or so? The doctor says that Grace must lie down and rest for a short time every afternoon.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_029_Elementary_029		to stand up	to rise from a sitting or lying position (also: to get up)		When the president entered the room, everyone stood up. Suzy, stop rolling around on the floor; get up now.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_030_Elementary_030		to sit down	to be seated (also: to take a seat)		We sat down on the park bench and watched the children play. There aren't any more chairs, but you can take a seat on the floor.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_031_Elementary_031		all (day, week, month, year) long	the entire day, week, month, year		I've been working on my income tax forms all day long. I've hardly had time to eat. It's been raining all week long. We haven't seen the sun since last Monday.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_032_Elementary_032		by oneself	alone, without assistance		Francis translated that French novel by himself. No one helped him. Paula likes to walk through the woods by herself, but her brother prefers to walk with a companion.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_033_Elementary_033		on purpose	for a reason, deliberately	This idiom is usually used when someone does something wrong or unfair.	Do you think that she didn't come to the meeting on purpose? It was no accident that he broke my glasses. He did it on purpose.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_034_Elementary_034		to get along with someone (something)	to associate or work well with; to succeed or manage in doing (also: to get on with someone or something)		Terry isn't getting along with her new roommate; they argue constantly. How are you getting on with your studies?
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_035_Elementary_035		to make a difference (to someone)	to be of importance (to), to affect	This idiom is often used with adjectives to show the degree of importance.	It makes a big difference to me whether he likes the food I serve. Does it make any difference to you where we go for dinner? No, it doesn't make any difference. It makes no difference to Lisa either.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_036_Elementary_036		to take out	to remove, to extract (S); to go on a date with (S) (also: to go out with)		Students, take out your books and open them to page twelve. Did you take Sue out last night? No, she couldn't go out with me.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_037_Elementary_037		to take part in	to be involved in, to participate in (also: to be in on)		Martin was sick and could not take part in the meeting yesterday. I didn't want to be in on their argument, so I remained silent.
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_038_Elementary_038		at all	to any degree (also: in the least)	This idiom is used with the negative to add emphasis to a statement.	"Larry isn't at all shy about expressing his opinions. When I asked Donna whether she was tired, she said, ""Not in the least. I'm full of energy."""
Essential Idioms in English	Anglais::Advanced English Vocabulary	Idioms_039_Elementary_039		to look up	to locate information in a directory, dictionary, book, etc. (S)		Ellen suggested that we look up Lee's telephone number in the directory. Students should try to understand the meaning of a new word from context before looking the word up in the dictionary.
