#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique	Anglais::Crime & Capital punishment	la criminalité	crime, criminality
Basique	Anglais::Crime & Capital punishment	le taux de criminalité	the crime rate
Basique	Anglais::Crime & Capital punishment	la criminalité organisée, le grand banditisme	organized crime
Basique	Anglais::Crime & Capital punishment	le criminalité en col blanc	white-collar crime
Basique	Anglais::Crime & Capital punishment	la délinquance juvénile	juvenile delinquency
Basique	Anglais::Crime & Capital punishment	un déliquant juvénile	a juvenile delinquent, a young offender
Basique	Anglais::Crime & Capital punishment	la petite délinquance	petty crime
Basique	Anglais::Crime & Capital punishment	un crime	a crime, a felony
Basique	Anglais::Crime & Capital punishment	commettre un crime	to commit a crime
Basique	Anglais::Crime & Capital punishment	un criminel	a criminal, a felon
Basique	Anglais::Crime & Capital punishment	un casier judiciaire	a criminal record
Basique	Anglais::Crime & Capital punishment	un délit, une infraction	an offense
Basique	Anglais::Crime & Capital punishment	une infraction (GB), un délit (US)	a misdemeanour
Basique	Anglais::Crime & Capital punishment	un délinquant, un contrevenant	an offender
Basique	Anglais::Crime & Capital punishment	un récidiviste	a repeat offender, a recidivist
Basique	Anglais::Crime & Capital punishment	le meurtre	murder
Basique	Anglais::Crime & Capital punishment	un meurtrier	a murderer
Basique	Anglais::Crime & Capital punishment	homicide	manslaughter
Basique	Anglais::Crime & Capital punishment	un tueur en série	a serial killer
Basique	Anglais::Crime & Capital punishment	le vol	theft
Basique	Anglais::Crime & Capital punishment	un voleur	a thief, a robber
Basique	Anglais::Crime & Capital punishment	voler une montre	to steal a watch
Basique	Anglais::Crime & Capital punishment	voler qch à qc	to rob sb of sth
Basique	Anglais::Crime & Capital punishment	le viol	rape
Basique	Anglais::Crime & Capital punishment	vol à main armée	armed robbery
Basique	Anglais::Crime & Capital punishment	un cambriolage	a burglary
Basique	Anglais::Crime & Capital punishment	agresser qn	to mug sb, to attack sb
Basique	Anglais::Crime & Capital punishment	le blanchiment d'argent	money-laundering
Basique	Anglais::Crime & Capital punishment	enfreindre une loi	to break a law
Basique	Anglais::Crime & Capital punishment	légal / illegal	lawful / unlawful
Basique	Anglais::Crime & Capital punishment	un délinquant, une personne qui enfreint la loi	a lawbreaker
Basique	Anglais::Crime & Capital punishment	des méfaits	wrongdoing
Basique	Anglais::Crime & Capital punishment	un malfaiteur	a wrongdoer
Basique	Anglais::Crime & Capital punishment	se moquer de la loi	to flout the law
Basique	Anglais::Crime & Capital punishment	une zone de non-droit	a no-go area
Basique	Anglais::Crime & Capital punishment	obéir à la loi	to obey the law
Basique	Anglais::Crime & Capital punishment	respecter la loi	to abide by the law
Basique	Anglais::Crime & Capital punishment	un citoyen respectueux des lois	a law-abiding citizen
Basique	Anglais::Crime & Capital punishment	la justice	the justice system
Basique	Anglais::Crime & Capital punishment	un tribunal	a court, a court of law
Basique	Anglais::Crime & Capital punishment	un juge	a judge
Basique	Anglais::Crime & Capital punishment	un avocat	a lawyer, a barrister (GB), an attorney (US)
Basique	Anglais::Crime & Capital punishment	le jury	the jury
Basique	Anglais::Crime & Capital punishment	poursuivre qn (en justice)	to prosecute sb
Basique	Anglais::Crime & Capital punishment	intenter un procès à qn, engager des poursuites contre qn	to bring a lawsuit against sb, sue sb
Basique	Anglais::Crime & Capital punishment	le procureur	the prosecutor
Basique	Anglais::Crime & Capital punishment	un suspect	a suspect
Basique	Anglais::Crime & Capital punishment	accuser, inculper qn de meurtre	to charge sb with murder
Basique	Anglais::Crime & Capital punishment	une accusation, un chef d'inculpation	a charge
Basique	Anglais::Crime & Capital punishment	avouer un crime	to confess to a crime
Basique	Anglais::Crime & Capital punishment	avouer avoir détourné de l'argent	to confess to embezzling money
Basique	Anglais::Crime & Capital punishment	un aveu	confession
Basique	Anglais::Crime & Capital punishment	un accusé, un prévenu	a defendant
Basique	Anglais::Crime & Capital punishment	un témoin / un témoin occulaire	a witness / an eye witness
Basique	Anglais::Crime & Capital punishment	une affaire	a case
Basique	Anglais::Crime & Capital punishment	un procès	a trial
Basique	Anglais::Crime & Capital punishment	passer en jugement, être jugé	to be tried, stand trial
Basique	Anglais::Crime & Capital punishment	être en attente de jugement	to await trial
Basique	Anglais::Crime & Capital punishment	la présomption d'innocence	the principle that a defendant is innocent until proven guilty
Basique	Anglais::Crime & Capital punishment	preuves relevées lors d'une expertise	forensic evidence
Basique	Anglais::Crime & Capital punishment	un coupable	a culprit
Basique	Anglais::Crime & Capital punishment	acquitter qn	to acquit sb
Basique	Anglais::Crime & Capital punishment	acquittement	acquittal
Basique	Anglais::Crime & Capital punishment	condamner qn, reconnaître qn coupable	to find sb guilty
Basique	Anglais::Crime & Capital punishment	reconnaître qn coupable de viol, meurtre	to convict sb of rape, murder
Basique	Anglais::Crime & Capital punishment	une condamnation	a conviction
Basique	Anglais::Crime & Capital punishment	une amende	a fine
Basique	Anglais::Crime & Capital punishment	condamner qn à une amende pour qch	to fine sb for sth
Basique	Anglais::Crime & Capital punishment	être condamné à cinq ans de prison	to be sentenced to five years' imprisonment, five years in jail
Basique	Anglais::Crime & Capital punishment	une condamnation à mort	a death sentence
Basique	Anglais::Crime & Capital punishment	une condamnation à perpétuité	a life sentence
Basique	Anglais::Crime & Capital punishment	une condamnation avec sursis	a suspended sentence
Basique	Anglais::Crime & Capital punishment	être mis en prison	to be sent to prison
Basique	Anglais::Crime & Capital punishment	incarcérer qn	to incarcerate, to imprison sb
Basique	Anglais::Crime & Capital punishment	le taux d'incarcération	the incarceration rate
Basique	Anglais::Crime & Capital punishment	une cellule	a cell
Basique	Anglais::Crime & Capital punishment	un détenu, un prisonnier	a prisoner, an inmate, a detainee
Basique	Anglais::Crime & Capital punishment	un gardien de prison	a prison officer, a prison warden (GB)
Basique	Anglais::Crime & Capital punishment	une prison de haute sécurité	a high-security prison
Basique	Anglais::Crime & Capital punishment	l'isolement carcéral	solitary confinement
Basique	Anglais::Crime & Capital punishment	la surpopulation carcérale	prison overcrowding
Basique	Anglais::Crime & Capital punishment	une erreur judiciaire	a miscarriage of justice
Basique	Anglais::Crime & Capital punishment	fabriquer des preuves	to fabricate evidence
Basique	Anglais::Crime & Capital punishment	être innocenté	to be proved innocent, to be exonerated
Basique	Anglais::Crime & Capital punishment	libérer, relâcher une prisonnier	to free, to release a prisonner
Basique	Anglais::Crime & Capital punishment	grâcier un condamné	to pardon a convict
Basique	Anglais::Crime & Capital punishment	mettre qn en liberté conditionnelle	to parole sb
Basique	Anglais::Crime & Capital punishment	être en liberté conditionnelle	to be on parole
Basique	Anglais::Crime & Capital punishment	se présenter à la police	to report to the police
Basique	Anglais::Crime & Capital punishment	un bracelet de surveillance électronique	an electronic tag
Basique	Anglais::Crime & Capital punishment	être coupable de meurtre	to be guilty of murder
Basique	Anglais::Crime & Capital punishment	un violeur	a rapist
Basique	Anglais::Crime & Capital punishment	un délinquant sexuel	a sex offender
Basique	Anglais::Crime & Capital punishment	la culpabilité	guilt
Basique	Anglais::Crime & Capital punishment	appliquer la loi du talion	a demand an eye for an eye
Basique	Anglais::Crime & Capital punishment	déclarer qn coupable, condamner qn	to convict sb, to find sb guilty
Basique	Anglais::Crime & Capital punishment	une condamnation à tort	a wrongful conviction
Basique	Anglais::Crime & Capital punishment	condamner qn à mort	to sentence sb to death
Basique	Anglais::Crime & Capital punishment	condamner qn à 25 ans de prison	to sentence sb to 25 years imprisonment
Basique	Anglais::Crime & Capital punishment	dissuader qn de faire qch	to deter sb from doing sth
Basique	Anglais::Crime & Capital punishment	avoir un effet dissuasif	to act as a deterrent
Basique	Anglais::Crime & Capital punishment	perpétuité sans possibilité de remise de peine	life without parole
Basique	Anglais::Crime & Capital punishment	mettre qn en prison	to jail, imprison sb
Basique	Anglais::Crime & Capital punishment	être dans les couloirs de la mort	to be on death row
Basique	Anglais::Crime & Capital punishment	un appel	an appeal
Basique	Anglais::Crime & Capital punishment	faire appel d'une décision	to appeal against a decision
Basique	Anglais::Crime & Capital punishment	casser une décision (de justice)	to quash, to overturn a decision
