#separator:tab
#html:false
#notetype column:1
#deck column:2
Basic	Anglais::Euthanasia	mettre un terme à sa vie	to put an end to one's life
Basic	Anglais::Euthanasia	le suicide médicalement assisté	doctor-assisted suicide
Basic	Anglais::Euthanasia	mourir paisiblement	to die peacefully
Basic	Anglais::Euthanasia	mourir dignement	to die with dignity
Basic	Anglais::Euthanasia	une maladie incurable	a terminal / an uncurable disease
Basic	Anglais::Euthanasia	une maladie dégénérative	a degenerative disease
Basic	Anglais::Euthanasia	être en phase terminale	to be terminally ill
Basic	Anglais::Euthanasia	être atteint de lésions cérébrales	to be brain-damaged
Basic	Anglais::Euthanasia	des lésions cérébrales irréversibles	irreversible brain damage
Basic	Anglais::Euthanasia	tomber / être dans le coma	to fall into / be in a coma
Basic	Anglais::Euthanasia	être dans un coma dépassé	to be brain dead
Basic	Anglais::Euthanasia	être un fardeau pour sa famille	to be a burden for one's family
Basic	Anglais::Euthanasia	la paralysie	paralysis
Basic	Anglais::Euthanasia	être paraplégique, avoir les jambes paralysées	to be paralyzed from the waist down, to be paraplegic
Basic	Anglais::Euthanasia	être tétraplégique, être paralysé des quatres membres	to be paralyzed from the neck down, to be tetraplegic
Basic	Anglais::Euthanasia	hémiplégique	paralyzed on one side
Basic	Anglais::Euthanasia	être grabataire	to be bedridden
Basic	Anglais::Euthanasia	être sous assistance respiratoire	to be on life support, to be hooked up to a respirator
Basic	Anglais::Euthanasia	être nourri artificiellement	to be hooked up to feeding tubes
Basic	Anglais::Euthanasia	une unité de soins palliatifs	a care unit for the terminally ill
Basic	Anglais::Euthanasia	un(e) aide-soignant(e)	a nursing auxiliary (GB), a nurse's aide (US)
Basic	Anglais::Euthanasia	guérir un patient	to cure a patient
Basic	Anglais::Euthanasia	prolonger la vie	to prolong life
Basic	Anglais::Euthanasia	l'acharnement thérapeutique	prolonging life through medical means
Basic	Anglais::Euthanasia	douleur insoutenable	excruciating pain
Basic	Anglais::Euthanasia	souffrir le martyre	to be in agony
Basic	Anglais::Euthanasia	douleureux / indolore	painful / painless
Basic	Anglais::Euthanasia	être sous sédatifs	to be under sedation
Basic	Anglais::Euthanasia	prescrire des tranquilisants, des calmants	to prescribe tranquilizers
Basic	Anglais::Euthanasia	une ordonnance	a prescription
Basic	Anglais::Euthanasia	soulager la douleur	to alleviate / relieve pain
Basic	Anglais::Euthanasia	soulagement	relief
Basic	Anglais::Euthanasia	soulager les souffrances de qqn	to ease sb's suffering
Basic	Anglais::Euthanasia	les soins palliatifs	palliative treatment, palliative care
Basic	Anglais::Euthanasia	pratiquer l'euthanasie	to practise, carry out euthanasia
Basic	Anglais::Euthanasia	arrêter les soins	to stop, withhold, withdraw medical treatment
Basic	Anglais::Euthanasia	débrancher un tube d'alimentation	to disconnect a feeding tube
Basic	Anglais::Euthanasia	débrancher l'aide respiratoire	to turn off life support
Basic	Anglais::Euthanasia	l'arrêt des soins	the cessation, the withdrawal of treatment
Basic	Anglais::Euthanasia	abréger la vie de qqn	to shorten sb's life
Basic	Anglais::Euthanasia	accélerer la mort de qqn	to speed, to hasten sb's death
Basic	Anglais::Euthanasia	faire une piqûre mortelle à qqn	to inject sb with a lethal substance
Basic	Anglais::Euthanasia	être pour l'euthanasie	to be in favour of euthanasia
Basic	Anglais::Euthanasia	les partisans de l'euthanasie	supporters, advocates of euthanasia
Basic	Anglais::Euthanasia	légaliser / décriminaliser l'euthanasie	to legalize / decriminalize euthanasia
Basic	Anglais::Euthanasia	être contre, s'opposer à l'euthanasie	to oppose euthanasia
Basic	Anglais::Euthanasia	les opposants à, adversaires de l'euthanasie	critics, opponents of euthanasia
