#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique Maths	Anglais::Immigration & Racism	un étranger	a foreigner
Basique Maths	Anglais::Immigration & Racism	un inconnu	a stranger
Basique Maths	Anglais::Immigration & Racism	la nationalité	nationality
Basique Maths	Anglais::Immigration & Racism	un ressortissant étranger	a foreign national
Basique Maths	Anglais::Immigration & Racism	les personnes de nationalité française	French citizens
Basique Maths	Anglais::Immigration & Racism	émigrer en Nouvelle-Zélande	to emigrate to New Zealand
Basique Maths	Anglais::Immigration & Racism	immigrer en France	to immigrate to France
Basique Maths	Anglais::Immigration & Racism	une vague d'immigration	a wave of immigration
Basique Maths	Anglais::Immigration & Racism	immigration à grande échelle / de masse	large-scale / mass immigration
Basique Maths	Anglais::Immigration & Racism	un exode	an exodus
Basique Maths	Anglais::Immigration & Racism	un nouvel arrivant	a newcomer
Basique Maths	Anglais::Immigration & Racism	pays natal, pays d'origine	native country, home country
Basique Maths	Anglais::Immigration & Racism	la patrie	homeland
Basique Maths	Anglais::Immigration & Racism	un pays d'acceuil	a host country
Basique Maths	Anglais::Immigration & Racism	un pays d'adoption	an adoptive country, a country of adoption
Basique Maths	Anglais::Immigration & Racism	acceuillir	to welcome
Basique Maths	Anglais::Immigration & Racism	acceuillant	welcoming
Basique Maths	Anglais::Immigration & Racism	la politique migratoire	immigration policy
Basique Maths	Anglais::Immigration & Racism	immigration choisie	selective immigration, controlled immigration
Basique Maths	Anglais::Immigration & Racism	les flux migratoires	migration flows
Basique Maths	Anglais::Immigration & Racism	un passager clandestin	a stowaway
Basique Maths	Anglais::Immigration & Racism	l'immigration clandestine, irrégulière	illegal immigration
Basique Maths	Anglais::Immigration & Racism	l'immigration sauvage	uncontrolled immigration
Basique Maths	Anglais::Immigration & Racism	un immigrant clandestin, un sans-papiers	an illegal immigrant, an illegal alien, an undocumented alien
Basique Maths	Anglais::Immigration & Racism	il est en situation irrégulière	his papers are not in order
Basique Maths	Anglais::Immigration & Racism	une frontière	a border, a frontier
Basique Maths	Anglais::Immigration & Racism	fermer ses frontières	to close one's borders
Basique Maths	Anglais::Immigration & Racism	les contrôles aux frontières	border controls
Basique Maths	Anglais::Immigration & Racism	les contrôles d'identité	identity checks
Basique Maths	Anglais::Immigration & Racism	un centre de rétention (administrative)	a holding centre, a detention facility
Basique Maths	Anglais::Immigration & Racism	un passeport	a passport
Basique Maths	Anglais::Immigration & Racism	une carte d'identité	an identity card
Basique Maths	Anglais::Immigration & Racism	un visa	a visa
Basique Maths	Anglais::Immigration & Racism	un réfugié	a refugee
