#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique	Anglais::Individual freedom & Gun violence	la liberté d'expression, de parole	freedom of speech, free speech, freedom of expression
Basique	Anglais::Individual freedom & Gun violence	la liberté de la presse	freedom of the press
Basique	Anglais::Individual freedom & Gun violence	une presse libre	a free press
Basique	Anglais::Individual freedom & Gun violence	la liberté de culte, la liberté religieuse	freedom of worship
Basique	Anglais::Individual freedom & Gun violence	le pouvoir arbitraire	arbitrairy power
Basique	Anglais::Individual freedom & Gun violence	une lettre de cachet	a lettre de cachet
Basique	Anglais::Individual freedom & Gun violence	empiéter sur les droits des gens	to infringe (on) people's rights
Basique	Anglais::Individual freedom & Gun violence	une atteinte, une entorse aux droits de qn	an infringement on sb's rights
Basique	Anglais::Individual freedom & Gun violence	empiéter sur les libertés fondamentales	to encroach on basic liberties
Basique	Anglais::Individual freedom & Gun violence	un empiètement de l'État	an encroachment of the state
Basique	Anglais::Individual freedom & Gun violence	restreindre, limiter la liberté d'expression	to restrict free speech
Basique	Anglais::Individual freedom & Gun violence	rogner sur les libertés individuelles	to erode individual freedoms
Basique	Anglais::Individual freedom & Gun violence	détenir un suspect sans l'inculper	to detain a suspect without charge
Basique	Anglais::Individual freedom & Gun violence	être détenu sans être inculpé	to be held without charge
Basique	Anglais::Individual freedom & Gun violence	placer qn en détention provisoire	to remand sb in custody
Basique	Anglais::Individual freedom & Gun violence	emprisonner qn	to jail sb, to imprison sb
Basique	Anglais::Individual freedom & Gun violence	le droit de vote	the right to vote
Basique	Anglais::Individual freedom & Gun violence	les droits fondamentaux	basic rights
Basique	Anglais::Individual freedom & Gun violence	les libertés fondamentales / individuelles	basic / individual liberties
Basique	Anglais::Individual freedom & Gun violence	être garanti par la constitution	to be enshrined in the constitution
Basique	Anglais::Individual freedom & Gun violence	les libertés civiques	civil liberties
Basique	Anglais::Individual freedom & Gun violence	censurer	to censor
Basique	Anglais::Individual freedom & Gun violence	la censure	censorship
Basique	Anglais::Individual freedom & Gun violence	la surveillance	surveillance
Basique	Anglais::Individual freedom & Gun violence	une société surveillée	a surveillance society
Basique	Anglais::Individual freedom & Gun violence	un État policier	a police state
Basique	Anglais::Individual freedom & Gun violence	la police, les forces de l'ordre	the police force
Basique	Anglais::Individual freedom & Gun violence	interpeller et fouiller	to stop and search
Basique	Anglais::Individual freedom & Gun violence	arrêter qn	to arrest sb
Basique	Anglais::Individual freedom & Gun violence	(le droit à) la vie privée, l'intimité	privacy
Basique	Anglais::Individual freedom & Gun violence	la vie privée de qn	sb's private life
Basique	Anglais::Individual freedom & Gun violence	violer la vie privée de qn	to breach, to violate sb's privacy
Basique	Anglais::Individual freedom & Gun violence	une atteinte à, une violation de la vie privée 	a breach of privacy, an invasion of privacy, a privacy violation
Basique	Anglais::Individual freedom & Gun violence	porter atteinte à la vie privée de qn	to intrude upon sb's privacy
Basique	Anglais::Individual freedom & Gun violence	la vidéosurveillance	videosurveillance
Basique	Anglais::Individual freedom & Gun violence	télévision en circuit fermé	CCTV, closed circuit television
Basique	Anglais::Individual freedom & Gun violence	enregistrer	to record
Basique	Anglais::Individual freedom & Gun violence	suivre de près les mouvements de qn	to monitor sb's movements
Basique	Anglais::Individual freedom & Gun violence	avoir qn à l'oeil	to keep tabs on sb, to snoop on sb
Basique	Anglais::Individual freedom & Gun violence	suivre la trace de qn	to track sb
Basique	Anglais::Individual freedom & Gun violence	surveiller une frontière / le courrier de qn	to monitor a border / sb's mail
Basique	Anglais::Individual freedom & Gun violence	un micro caché	a bug
Basique	Anglais::Individual freedom & Gun violence	placer des micros dans un pièce	to bug a room
Basique	Anglais::Individual freedom & Gun violence	mettre qn sur écoute téléphonique	to (wire)tap sb's phone
Basique	Anglais::Individual freedom & Gun violence	les écoutes téléphoniques	phone tapping, wiretapping
Basique	Anglais::Individual freedom & Gun violence	écouter les conversations téléphoniques de qn	to eavesdrop on sb's phone conversations
Basique	Anglais::Individual freedom & Gun violence	mettre son nez dans la vie personnelle de qn	to pry into sb's personal life
Basique	Anglais::Individual freedom & Gun violence	des données, des informations	data
Basique	Anglais::Individual freedom & Gun violence	des informations personnelles	personal data, personal details
Basique	Anglais::Individual freedom & Gun violence	les coordonnées de qn	sb's contact details
Basique	Anglais::Individual freedom & Gun violence	des données biométriques	biometric data
Basique	Anglais::Individual freedom & Gun violence	les informations bancaires de qn	sb's banking data
Basique	Anglais::Individual freedom & Gun violence	un dossier médical / scolaire	a medical record / a school record
Basique	Anglais::Individual freedom & Gun violence	un casier judiciaire	a criminal record
Basique	Anglais::Individual freedom & Gun violence	un relevé de téléphone	a telephone bill
Basique	Anglais::Individual freedom & Gun violence	un relevé bancaire	a bank statement
Basique	Anglais::Individual freedom & Gun violence	rassembler, recueillir des informations	to collect, gather data
Basique	Anglais::Individual freedom & Gun violence	glaner des informations	to glean information
Basique	Anglais::Individual freedom & Gun violence	enregistrer, conserver des données	to record, store, retain data
Basique	Anglais::Individual freedom & Gun violence	rechercher et extraire des données	to retrieve data
Basique	Anglais::Individual freedom & Gun violence	ficher un suspect	to put a suspect on a file
Basique	Anglais::Individual freedom & Gun violence	une base de données	a database
Basique	Anglais::Individual freedom & Gun violence	une base de données ADN	a DNA database
Basique	Anglais::Individual freedom & Gun violence	une empreinte génétique	a DNA print, a genetic print
Basique	Anglais::Individual freedom & Gun violence	subir un test ADN	to be DNA-swabbed
Basique	Anglais::Individual freedom & Gun violence	tirer la sonnette d'alarme	to sound, to ring the alarm bell
Basique	Anglais::Individual freedom & Gun violence	dénoncer qn	to blow the whistle on sb
Basique	Anglais::Individual freedom & Gun violence	un lanceur d'alerte	a whistleblower
Basique	Anglais::Individual freedom & Gun violence	les armes à feu	firearms
Basique	Anglais::Individual freedom & Gun violence	une arme à feu	a gun
Basique	Anglais::Individual freedom & Gun violence	une arme de poing	a handgun
Basique	Anglais::Individual freedom & Gun violence	un revolver	a revolver
Basique	Anglais::Individual freedom & Gun violence	un pistolet	a pistol
Basique	Anglais::Individual freedom & Gun violence	un fusil de chasse	a shotgun
Basique	Anglais::Individual freedom & Gun violence	un fusil semi-automatique	a semi-automatic rifle
Basique	Anglais::Individual freedom & Gun violence	un fusil d'assaut	an assault rifle, an assault weapon
Basique	Anglais::Individual freedom & Gun violence	des munitions	ammunition, munitions
Basique	Anglais::Individual freedom & Gun violence	une balle	a bullet
Basique	Anglais::Individual freedom & Gun violence	une cartouche	a cartridge
Basique	Anglais::Individual freedom & Gun violence	un étui (de revolver)	a holster
Basique	Anglais::Individual freedom & Gun violence	propriétaire d'arme à feu	a gun-owner
Basique	Anglais::Individual freedom & Gun violence	un passioné d'armes à feu	a gun enthusiast
Basique	Anglais::Individual freedom & Gun violence	un champ de tir	a rifle range, a shooting range
Basique	Anglais::Individual freedom & Gun violence	porter une arme	to bear, to carry, to wear a gun
Basique	Anglais::Individual freedom & Gun violence	les ventes d'armes à feu	gun sales
Basique	Anglais::Individual freedom & Gun violence	un permis de port d'arme	a gun permit, a gun license
Basique	Anglais::Individual freedom & Gun violence	se faire justice	to take the law into one's own hands
Basique	Anglais::Individual freedom & Gun violence	la légitime défense	self-defence
Basique	Anglais::Individual freedom & Gun violence	agir en état de légitime défense	to act in self-defence
Basique	Anglais::Individual freedom & Gun violence	un membre d'un groupe d'autodéfense	a vigilante
Basique	Anglais::Individual freedom & Gun violence	un problème controversé	a controversial, contentious issue
