#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique Maths	L3::Algèbre 2::Extensions de corps	Extension de corps	Si \(L, K\) sont des corps, et \(\rho : K \to L\) est un morphisme, \(L\) est une extension de corps de \(K\). On note \(L-\rho(K)\) ou \(\begin{array}{ll}L\\|\\\rho(K)\end{array}\), ou\(L-K\) et \(\begin{array}{ll}L\\|\\K\end{array}\)s'il n'y a pas d'ambiguité.
Basique Maths	L3::Algèbre 2::Extensions de corps	Élément transcendant, algébrique	Avec \(L-K\), un élément \(a\in L\) est transcendant sur \(K\) si et seulement si \(eval_a:K[X] \to L\) est injective. \(a\) est algébrique sur \(K\) sinon.
Basique Maths	L3::Algèbre 2::Extensions de corps	Polynôme minimal d'un élément algébrique	Pour \(a \in L\) algébrique sur \(K\), le polynôme minimal de \(a\) sur \(K\) est le polynôme \(P_a\) unitaire de \(K[X]\) tel que \(\ker(eval_a) = (P_a)\).
Basique Maths	L3::Algèbre 2::Extensions de corps	Degré d'un élément algébrique	Le degré de \(a \in L-K\) sur \(K\) est \(\deg(P_a)\). C'est le degré minimal d'un polynôme de \(K[X]\) qui annule \(a\).
Basique Maths	L3::Algèbre 2::Extensions de corps	Réductibilité du polynôme minimal	Pour \(a \in L\setminus\{0\}\) algébrique, \(P_a\) est irréductible.
Basique Maths	L3::Algèbre 2::Extensions de corps	Degré d'une extension	Pour \(L-K\), \(L\) est un \(K\)-ev, et le degré de l'extension \(L-K\) est \([L, K] = \dim_KL\).
Basique Maths	L3::Algèbre 2::Extensions de corps	Théorème de la base télescopique	Si \(L-K, M-L\) des extensions, alors \(M-K\) est une extension de degré \([M,K] = [M,L][L, K]\).
Basique Maths	L3::Algèbre 2::Extensions de corps	Extension finie	Une extension est finie si et seulement si elle est de degré fini.
Basique Maths	L3::Algèbre 2::Extensions de corps	Chaîne d'extension finie	Si \(M-L, L-K\) sont des extensions finies, \(M-K\) est une extension finie.
Basique Maths	L3::Algèbre 2::Extensions de corps	Caractérisation des éléments algébriques par des extensions	Avec \(L-K\) une extension et \(a \in L\), les psse: 1) \(a\) est algébrique sur \(K\) 2) \([K(a), K]\) est finie 3) \(K[a] = K(a)\) dans \(L\).
Basique Maths	L3::Algèbre 2::Extensions de corps	Degré d'un élément algébrique, du polynôme et de l'extension associée	Si \(a \in L-K\) est algébrique, \([K(a), K] = \deg a = \deg P_a\).
Basique Maths	L3::Algèbre 2::Extensions de corps	Extension algébrique	\(L-K\) est une extension algébrique si tous ses éléments sont algébriques sur \(K\).
