#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique	L3::FDI::Automates finis et langages rationnels	Définition AFD / NFA	AFD : Automate fini déterministe, n'a pas de blocage. NFA : Automate fini non déterministe, avec blocage et \(\varepsilon\)-transition.
Basique	L3::FDI::Automates finis et langages rationnels	Stabilité des langages rationnels	les langages rationnels sont stables par union, concaténation, complémentaire, intersection.
Basique	L3::FDI::Automates finis et langages rationnels	Équivalence NFA / DFA	Les deux reconnaissent les langages rationnels.
Basique	L3::FDI::Automates finis et langages rationnels	GNFA	Automate non déterministe généralisé (transitions étiquetées par expression régulières)
Basique Maths	L3::FDI::Automates finis et langages rationnels	Lemme de pompage	Soit \( L \in Rat(\Sigma) \) . Alors il existe un entier \( n \in \mathbb N^* \) , appelé longueur de pompage, tel que pour tout mot \( u \in L \) tel que \( |u| \ge n \) admet une décomposition de la forme \( xyz \) telle que: - \( y \ne \varepsilon \)  - \( |xy| \le n \)  - \( \forall k \in \mathbb N, xy^kz \in L\)
Basique Maths	L3::FDI::Automates finis et langages rationnels	Mots indistinguables	Pour \( L \in \Sigma^* \) , \( x,y \in \Sigma^* \) sont indistinguables ssi \( \forall z \in \Sigma^*, xz \in L \Leftrightarrow yz \in L \) . On note \( \equiv_L\)la relation d'équivalence obtenue.
Basique Maths	L3::FDI::Automates finis et langages rationnels	Indice d'un langage	L'indice de \( L \) est le nombre de classes d'équivalences de \( \Sigma^* \) pour \( \equiv_L\).
Basique Maths	L3::FDI::Automates finis et langages rationnels	Théorème de Myhill-Nerode	Un langage \( L \) est rationnel ssi l'indice de \( L \) est fini et dans ce cas, l'indice de \( L \) est égal au nombre d'états du plus petit DFA reconnaissant \( L\).
Basique Maths	L3::FDI::Automates finis et langages rationnels	Nom du théorème de minimisation	Myhill-Nerode.
Basique Maths	L3::FDI::Automates finis et langages rationnels	Résiduel	Pour tout mot \( x \in \Sigma^* \) et langage \( L \) , le résiduel de \( x \) est \( x^{-1}L = \{z \in\Sigma^*, xz \in L\}\)
Basique Maths	L3::FDI::Automates finis et langages rationnels	Automate minimal à partir des classes d'équivalence	On peut construire un automate minimal pour un langage rationnel où chaque état correspond à une classe de \( \equiv_L\). Dans ce cas les classes correspondent aux mots dont le calcul finit dans un même état.
