#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique Maths	L3::Intégration et théorie de la mesure::Bases de la théorie de la mesure	Algèbre de Boole	Soit  \( X \)  un ensemble.  \( \mathcal A \)  est une algèbre de Boole sur  \( X \)  si et seulement si: -  \( \varnothing \in \mathcal A \) . -  \( A \in \mathcal A \implies A^C \in \mathcal A \) . -  \( A, B \in \mathcal A \implies A\cup B \in \mathcal A\).
Basique Maths	L3::Intégration et théorie de la mesure::Bases de la théorie de la mesure	\(\sigma\)-algèbre	Soit  \( X \)  un ensemble.  \( \mathcal A \)  est une  \( \sigma \) -algèbre ou tribu sur  \( X \)  si et seulement si: -  \( \varnothing \in \mathcal A \) . -  \( A \in \mathcal A \implies A^C \in \mathcal A \) . -  \( (A_n) \in \mathcal A^n \implies \bigcup\limits_{n\in \N} A_n \in \mathcal A\).
Basique Maths	L3::Intégration et théorie de la mesure::Bases de la théorie de la mesure	Propriétés des tribus	Pour  \( \mathcal A \)  tribu sur  \( X \) ,  \( X \in \mathcal A \)  et  \( \mathcal A\) est stable par intersection dénombrable.
Basique Maths	L3::Intégration et théorie de la mesure::Bases de la théorie de la mesure	Espace mesurable et partie mesurable	Un espace mesurable  \( (X, \mathcal A) \)  est un ensemble muni d'une tribu sur cet ensemble. Si  \( A\in \mathcal A \) , alors  \( A \)  est une partie mesurable de  \( (X, \mathcal A)\).
Basique Maths	L3::Intégration et théorie de la mesure::Bases de la théorie de la mesure	Plus petite / plus grande tribu	\( \{\varnothing, X\} \)  et  \( \mathcal P(X) \)  sont respectivement les plus petite et plus grande tribu et algèbre de Boole sur  \( X\).
Basique Maths	L3::Intégration et théorie de la mesure::Bases de la théorie de la mesure	Intersection de tribus	Une intersection quelconque de tribus est une tribu.
Basique Maths	L3::Intégration et théorie de la mesure::Bases de la théorie de la mesure	Tribu engendrée	Pour  \( \mathcal C \subseteq \mathcal P(X) \) , il existe une unique plus petite tribu contenant  \( \mathcal C \) , la tribu  \( \sigma(\mathcal C) \)  engendrée par  \( \mathcal C \) :  \( \sigma(\mathcal C) = \bigcap\limits_{\begin{array}{ll}A \text{ tribu} \\ \mathcal C \subseteq A\end{array}} A \) . Attention : il n'existe pas d'écriture explicite pour  \( \sigma(\mathcal C)\).
Basique Maths	L3::Intégration et théorie de la mesure::Bases de la théorie de la mesure	Tribu borélienne	La tribu boriélienne  \( \mathcal B(X)\) est la tribu engendrée par les ouverts d'un ensemble.
Basique Maths	L3::Intégration et théorie de la mesure::Bases de la théorie de la mesure	Topologie sur un ensemble	Une topologie sur un ensemble est définie comme une partie \(G \subseteq \mathcal P(X)\) telle que: - \(\varnothing \in G\). - \(X \in G\). - \(G\) est stable par intersection finie. - \(G\) est stable par union quelconque.
Basique Maths	L3::Intégration et théorie de la mesure::Bases de la théorie de la mesure	Ensemble engendrant les boréliens sur \(\R\)	Les boréliens sur  \( \R \) , notés  \( \mathcal B(\R) \)  sont engendrés par: - Les fermés - Les intervalles fermés bornés - Les  \( [a,b [, a \le b \)  - Les  \( ]-\infty, a], a \in \R\).
