#separator:tab
#html:false
#notetype column:1
#deck column:2
Basic	L3::Licence Maths UCBL::Équations différentielles	Norme subordonnée associée à la norme euclidienne sur \(\K^n\)	On note \(|||\cdot |||_2\) la norme subordonnée à la norme euclidienne sur \(\K^n\).
Basic	L3::Licence Maths UCBL::Équations différentielles	Propriétés de la norme \(|||\cdot |||_2\)	- \(\forall A \in M_n(\K), |||A|||_2 = |||A^*|||_2\) est la plus grande valeur singulière de \(A\). - \(\forall A, U \in M_n(\K)\) avec \(U\) unitaire, \(|||AU|||_2 = |||UA|||_2 = |||A|||\) - Si \(A\) unitaire, \(|||A|||_2 = \rho(A)\) avec \(\rho(A)\) le rayon spectral de \(A\).
Basic	L3::Licence Maths UCBL::Équations différentielles	Rayon spectral	La rayon spectral est le maximum des modules des valeurs propres d'une matrice / application linéaire.
Basic	L3::Licence Maths UCBL::Équations différentielles	Norme matricielle et rayon spectral	Pour toute norme matricielle \(||\cdot||\) sur \(M_n(\C)\), on a: - \(\forall A \in M_n(\C), \rho(A) \le ||A||\) - Pour \(A \in M_n(\C)\), pour tout \(\varepsilon > 0\), il existe une norme matricielle \(||\cdot||_{A, \varepsilon}\) sur \(M_n(\C)\) telle que \(||A||_{A, \varepsilon} \le \rho(A) + \varepsilon\).
Basic	L3::Licence Maths UCBL::Équations différentielles	Caractérisation des matrices nilpotentes à la limite	Soit \(A \in M_n(\C)\). Les psse: - \(\lim\limits_{ k\to+\infty}A^k = 0\) - \(\forall x \in \C^n, \lim\limits_{k \to +\infty}A^kx = 0\) - \(\rho(A) < 1\) - Il existe une norme matricielle \(||\cdot||\) pour laquelle \(||A|| < 1\).
Basic	L3::Licence Maths UCBL::Équations différentielles	Caractérisation du rayon spectral par une norme matricielle	Soit \(A \in M_n(\C)\) et \(||\cdot||\) une norme matricielle. On a: \(\lim\limits_{k \to +\infty}||A^k||^{\frac 1k}=\rho(A)\)
Basic	L3::Licence Maths UCBL::Équations différentielles	Équation différentielle	Une équation différentielle (résolue d'ordre 1) est une équation en la fonction \(y\) de la forme: \((E) : y'(t) = f(t,y(t)), t \in I\) où \(I \) est un intervalle ouvert de \(\R\), \(U\) ouvert de \(\R^d\) (\(d \ge 1\)), \(f : I \times U \to \R^d\) continue. \(f\) est le champ de vecteurs de \((E)\)
Basic	L3::Licence Maths UCBL::Équations différentielles	Solution d'une équation différentielle, solution globale, maximale	Une solution de \((E) : y'(t) = f(t,y(t)), t \in I\) est \((y, J)\) avec \(J \) ouvert contenue dans \(I, y : J \to \R^d\). La solution est globale si \(I = J\) La solution est maximale s'il n'existe pas de solution \((\tilde y, \tilde J)\) avec \(J \subseteq \tilde J\), et \(y= \tilde y_{|J}\)
Basic	L3::Licence Maths UCBL::Équations différentielles	Équation autonome	\((E) : y'(t) = f(t,y(t)), t \in I\) est autonome si \(f(t, y(t)) = f(y(t))\).
Basic	L3::Licence Maths UCBL::Équations différentielles	Théorème de prolongement des solutions	Toute solution se prolonge en une solution maximale (mais pas nécéssairement de manière unique).
