#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique Maths	L3::Logique	Définition des formules par le haut et par le bas	On peut définir les formules de calcul propositionnel: - Par le haut comme plus petit ensemble stable par les opérations de construction contentant les variables propositionnel - Par le bas comme union des formules obtenues après \(n\) opérations de construction pour tout \(n \in \N\).
Basique Maths	L3::Logique	Théorème de lecture unique	Toute formule \(F \in \mathcal F\) vérifie une et une seule de ces propriétés: - \(F\)  est une variables propositionnelle - \(F\) est la négation d'une variable propositionnelle - \(F\) est la conjonction / disjonction / implication / équivalence de deux formules.
Basique Maths	L3::Logique	Bijection formules-arbres	Il y a une bijection entre les formules et les arbres dont: - Les feuilles sont étiquetées par des variables - Les noeuds internes sont étiquetés par des connecteurs - Les noeuds ont le nombre de fils correspondant au connecteur
Basique Maths	L3::Logique	Lemme d'extension des valuations	Toute fonction \( \nu\) de \(\mathcal P\) (ensemble des variables propositionnelles) dans \(\{0, 1\}\) appelée valuation. Alors \(\nu\) s'étend de manière unique en une fonction \(\bar\nu\) de \(\mathcal F\) (ensemble des formules propositionnelles) dans \(\{0, 1\}\) dont la valeur sur les formules est cohérente avec les opérateurs.
Basique Maths	L3::Logique	Ensemble finiment satisfiable	Un ensemble \(\mathcal E\) de formules est finiment satisfiable si tout sous-ensemble fini de \(\mathcal E\) est satisfiable.
Basique Maths	L3::Logique	Conséquence sémantique	Une formule \(F\) est conséquence sémantique d'un ensemble de formules \(\mathcal E\) si toute valuation qui satisfait \(\mathcal E\) satisfait \(F\).
Basique Maths	L3::Logique	Ensemble contradictoire	Un ensemble de formules est contradictoire s'il n'est pas satisfiable.
Basique Maths	L3::Logique	Ensemble finiment contradictoire	Un ensemble de formules est finiment contradictoire s'il admet un sous-ensemble fini contradictoire.
Basique Maths	L3::Logique	Théorème de compacité du calcul propositionnel (3 versions)	- Un ensemble de formules du calcul propositionnel est satisfiable si et seulement si il est finiment satisfiable - Un ensemble de formules du calcul propositionnel est finiment contradictoire si et seulement s'il est contradictoire - Pour tout ensemble \(\mathcal E\) de formules du calcul propositionnel et pour toute formule \(F\), \(F\) est conséquence sémantique de \(\mathcal E\) si et seulement si elle est conséquence sémantique d'un sous-ensemble fini de \(\mathcal E\).
Basique Maths	L3::Logique::Logique du premier ordre	Langage du premier ordre	Un langage du premier ordre est un ensemble fini ou pas. C'est la donnée d'une famille de symboles de 3 sortes: - Les symboles de constantes : \(c\) - Les symboles de fonction, avec un entier associé, leur arité : \(f(x_1, \dots ,x_n)\) symbole d'arité \(n\) - Les symboles de relation ou prédicat, avec leur arité
Basique Maths	L3::Logique::Logique du premier ordre	Terme (2 définitions)	On définit l'ensemble \(\mathcal T\) des termes du langage \(\mathcal L\) par le haut ou la bas: - \(\mathcal T\) est le plus petit ensemble de mots sur \(\mathcal L \cup \mathcal V \cup \{(;);,\}\) contenant les variables et constantes et stable par l'application de fonction - \(\mathcal T = \bigcup\limits_{k \in \N} \mathcal T_k\) où \(\mathcal T_0 = \mathcal V \cup \mathcal \{c\text{ constante}\}\),  \(\mathcal T_{k + 1} = \mathcal T_k \cup \{f(t_1, \dots, t_n)|f\text{ d'arité  }n, t_1 \dots, t_n \in \mathcal T_k\}\)
Basique Maths	L3::Logique::Logique du premier ordre	Substitution	Si \(t, u\) sont des termes et \(x\) une variable, \(t[x:u]\) est le mot dans lequel les lettres \(x\) ont été remplacées par le mot \(u\).
Basique Maths	L3::Logique::Logique du premier ordre	Terme clos	Un terme clos est un terme sans variable libre.
Basique Maths	L3::Logique::Logique du premier ordre	Hauteur d'un terme	La hauteur d'un terme est le plus petit \(k\) tel que \(\mathcal T_k\).
Basique Maths	L3::Logique::Logique du premier ordre	Formule atomique, formule	Un formule atomique est une formule de la forme \(R(t_1, \dots, t_n)\) où \(R\) est un symbole de relation d'arité \(n\) et \(t_1, \dots, t_n\) des termes. Les formules sont des mots sur l'alphabet \(\mathcal L \cup \mathcal V \cup \{(;);,;\exists;\forall;\vee;\wedge;\to;\neg\}\) défini par le bas: \(\mathcal F = \bigcup\limits_{k \in \N}\mathcal F_k\) avec \(\mathcal F_0 = \{\text{formules atomiques}\}\) et \(\mathcal F_{k + 1} = \mathcal F_k \cup\{(\neg F),(F\wedge G),(F\vee G),(F\to G),(\exists x F),(\forall x F)\}\)
Basique Maths	L3::Logique::Logique du premier ordre	Ensemble des sous-formules	L'ensemble des sous-formules d'une formule est défini inductivement comme l'ensemble contenant la formule elle-même et l'ensemble des sous-formules présentes dans le constructeur de la formule. Les sous-formules correspondent aux sous-arbres.
Basique Maths	L3::Logique::Logique du premier ordre	Taille d'une formule	La taille d'une formule est le nombre de connecteurs et de quantificateurs.
Basique Maths	L3::Logique::Logique du premier ordre	Occurence d'une variable, variables libres et liées	- Une occurence d'une variables est un endroit où la variable apparaît dans la formule (i.e. une feuille étiquetée par cette variable) - Une occurence de \(x\) est liée si elle se trouve dans une sous-formule dont l'opérateur principal est appliqué à \(x\). - Une occurence est libre si elle n'est pas liée. - Une variable \(x\) est libre dans \(F\) si elle a au moins une occurence libre dans \(F\), sinon elle est liée.
Basique Maths	L3::Logique::Logique du premier ordre	Formule close	Une formule close est une formule sans variable libre.
Basique Maths	L3::Logique::Logique du premier ordre	Renommage, \(\alpha\)-équivalence	On dit que les formules \(F\) et \(G \) sont \(\alpha\)-équivalentes si elles sont syntaxiquement idéntiques à renommage près des occurences liées des variables.
Basique Maths	L3::Logique::Démonstrations en déduction naturelle	Séquent	Un séquent est un couple noté \(P \vdash F\) tel que \(P\) est un ensemble de formules appelé contexte et \(F\) une formule est la conclusion du séquent.
Basique Maths	L3::Logique::Démonstrations en déduction naturelle	Séquent prouvable	Un séquent \(P \vdash F\) est prouvable, démontrable ou dérivable s'il peut être obtenu par une suite finie de règles.
Basique Maths	L3::Logique::Démonstrations en déduction naturelle	Formule prouvable	Une formule \(F\) est prouvable si \(\varnothing \vdash F\) l'est.
Basique Maths	L3::Logique::Sémantique de la logique du premier ordre	Interprétation d'un langage	Soit \(\mathcal L\) un langage de la logique du premier ordre. On appelle interprétation du langage \(\mathcal L\) (ou modèle ou structure) l'ensemble \(\mathcal M\) des données suivantes: - Un ensemble non vide \(|\mathcal M|\) appelée domaine ou ensemble de base de \(\mathcal M\). - Pour chaque symbole \(c\) de constante de \(\mathcal L\), un élément \(c_\mathcal M\) de \(|\mathcal M|\) - Pour chaque symbole \(f\) de fonction \(n\)-aire de \(\mathcal L\), une fonction \(f_\mathcal M : |\mathcal M|^n \to |\mathcal M|\) - Pour chaque symbole \(R\) de relation \(n\)-aire de \(\mathcal L\), une relation \(f_\mathcal M\) de \(|\mathcal M|^n\).
Basique Maths	L3::Logique::Sémantique de la logique du premier ordre	Environnement	- Un environnement est une fonction de l'ensemble des variables dans \(|\mathcal M|\) - Si \(e\) un environnement et \(a \in |\mathcal M|\), on note \(e[x:=a]\) l'environnement \(e'\) tel que \(e'(x) = a\) et \(e' = e\) autre part.
Basique Maths	L3::Logique::Sémantique de la logique du premier ordre	Valeur d'un terme dans une interprétation	La valeur du terme \(t\) dans l'environnement noté \(Val_\mathcal M(t, e)\) est défini par induction sur l'ensemble des termes: - \(Val_\mathcal M(c,e) = c_\mathcal M\) - \(Val_\mathcal M(x, e)= e(x)\) - \(Val_\mathcal M(f(t_1, \dots, t_n),e) = f_\mathcal M(Val_\mathcal M(t_1, e), \dots, Val_\mathcal M(t_n, e))\).
