#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique Maths	L3::Logique::Logique du premier ordre	Langage du premier ordre	Un langage du premier ordre est un ensemble fini ou pas. C'est la donnée d'une famille de symboles de 3 sortes: - Les symboles de constantes : \(c\) - Les symboles de fonction, avec un entier associé, leur arité : \(f(x_1, \dots ,x_n)\) symbole d'arité \(n\) - Les symboles de relation ou prédicat, avec leur arité
Basique Maths	L3::Logique::Logique du premier ordre	Terme (2 définitions)	On définit l'ensemble \(\mathcal T\) des termes du langage \(\mathcal L\) par le haut ou la bas: - \(\mathcal T\) est le plus petit ensemble de mots sur \(\mathcal L \cup \mathcal V \cup \{(;);,\}\) contenant les variables et constantes et stable par l'application de fonction - \(\mathcal T = \bigcup\limits_{k \in \N} \mathcal T_k\) où \(\mathcal T_0 = \mathcal V \cup \mathcal \{c\text{ constante}\}\),  \(\mathcal T_{k + 1} = \mathcal T_k \cup \{f(t_1, \dots, t_n)|f\text{ d'arité  }n, t_1 \dots, t_n \in \mathcal T_k\}\)
Basique Maths	L3::Logique::Logique du premier ordre	Substitution	Si \(t, u\) sont des termes et \(x\) une variable, \(t[x:u]\) est le mot dans lequel les lettres \(x\) ont été remplacées par le mot \(u\).
Basique Maths	L3::Logique::Logique du premier ordre	Terme clos	Un terme clos est un terme sans variable libre.
Basique Maths	L3::Logique::Logique du premier ordre	Hauteur d'un terme	La hauteur d'un terme est le plus petit \(k\) tel que \(\mathcal T_k\).
Basique Maths	L3::Logique::Logique du premier ordre	Formule atomique, formule	Un formule atomique est une formule de la forme \(R(t_1, \dots, t_n)\) où \(R\) est un symbole de relation d'arité \(n\) et \(t_1, \dots, t_n\) des termes. Les formules sont des mots sur l'alphabet \(\mathcal L \cup \mathcal V \cup \{(;);,;\exists;\forall;\vee;\wedge;\to;\neg\}\) défini par le bas: \(\mathcal F = \bigcup\limits_{k \in \N}\mathcal F_k\) avec \(\mathcal F_0 = \{\text{formules atomiques}\}\) et \(\mathcal F_{k + 1} = \mathcal F_k \cup\{(\neg F),(F\wedge G),(F\vee G),(F\to G),(\exists x F),(\forall x F)\}\)
Basique Maths	L3::Logique::Logique du premier ordre	Ensemble des sous-formules	L'ensemble des sous-formules d'une formule est défini inductivement comme l'ensemble contenant la formule elle-même et l'ensemble des sous-formules présentes dans le constructeur de la formule. Les sous-formules correspondent aux sous-arbres.
Basique Maths	L3::Logique::Logique du premier ordre	Taille d'une formule	La taille d'une formule est le nombre de connecteurs et de quantificateurs.
Basique Maths	L3::Logique::Logique du premier ordre	Occurence d'une variable, variables libres et liées	- Une occurence d'une variables est un endroit où la variable apparaît dans la formule (i.e. une feuille étiquetée par cette variable) - Une occurence de \(x\) est liée si elle se trouve dans une sous-formule dont l'opérateur principal est appliqué à \(x\). - Une occurence est libre si elle n'est pas liée. - Une variable \(x\) est libre dans \(F\) si elle a au moins une occurence libre dans \(F\), sinon elle est liée.
Basique Maths	L3::Logique::Logique du premier ordre	Formule close	Une formule close est une formule sans variable libre.
Basique Maths	L3::Logique::Logique du premier ordre	Renommage, \(\alpha\)-équivalence	On dit que les formules \(F\) et \(G \) sont \(\alpha\)-équivalentes si elles sont syntaxiquement idéntiques à renommage près des occurences liées des variables.
