#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique	Première année::Mathématiques::Arithmétique des entiers	Caractérisation de la divisibilité en terme d'idéaux	Soient \(a\) et \(b\) deux entiers positifs, \(a \ne 0\). Alors \(a | b\) ssi \(b \mathbb Z \subset a \mathbb Z\)
Basique	Première année::Mathématiques::Arithmétique des entiers	Couple d'entiers associés	Deux entiers \(a\) et \(b\) sont associés ssi \(a|b\) et \(b|a\), càd \(a \mathbb Z = b \mathbb Z\)
Basique	Première année::Mathématiques::Arithmétique des entiers	Caractérisation des entiers associés	\(a\) et \(b\) sont associés ssi il existe \(\varepsilon \in \{-1,1\}, a = \varepsilon b\)
Basique	Première année::Mathématiques::Arithmétique des entiers	Anneau euclidien	Soit \(A\) un anneau. On dit que \(A\) est euclidien s'il est intègre et muni d'un stathme, càd de \(v : A \backslash \{0\} \rightarrow \mathbb N\) telle que: \(\forall a \in A, \forall b \in A \backslash \{0\}, \exists (q,r) \in A^2, a = bq + r\) et \((r = 0 \lor v(r) < v(b))\)
Basique	Première année::Mathématiques::Arithmétique des entiers	Congruences et division	Si \(n\) divise \(m\) alors pour tous \(a, b \in \mathbb Z\): \(a \equiv b [m] \Rightarrow a \equiv b [n]\)
Basique	Première année::Mathématiques::Arithmétique des entiers	Périodicité des puissances modulo \(n\)	Soit \(n > 1\) et \(a \in \mathbb Z\). Alors la suite \((a^p)_{p \in \mathbb N^*}\) est périodique modulo \(n\) à partir d'un certain rang.
Basique	Première année::Mathématiques::Arithmétique des entiers	Nombres composés	Soit \(n \in \mathbb N^*\). On dit que \(n\) est composé s'il admet un diviseur positif distinct de \(1\) et \(n\).
Basique	Première année::Mathématiques::Arithmétique des entiers	Existence d'un diviseur d'un composé	Tout nombre composé admet un diviseur strict premier.
Basique	Première année::Mathématiques::Arithmétique des entiers	Somme de deux groupes abéliens	Soient \(H\) et \(K\) deux sous groupes d'un groupe abélien \((G, +)\). Alors \(H + K\) est le plus petit groupe contenant \(H \cup K\).
Basique	Première année::Mathématiques::Arithmétique des entiers	Intersection et somme de deux idéaux	Soient \(I\) et \(J\) deux idéaux d'un anneau commutatif \(A\). Alors \(I \cap J\) et \(I + J\) sont des idéaux de \(A\).
