#separator:tab
#html:false
#notetype column:1
#deck column:2
Basic	Première année::Physique::Magnétisme et Induction	Champ	Grandeur physique définie en tout point de l'espace qui dépend du temps. Peut être vectoriel ou scalaire
Basic	Première année::Physique::Magnétisme et Induction	Champ uniforme	 Champ identique en tout point de l'espace.
Basic	Première année::Physique::Magnétisme et Induction	Champ stationnaire	Champ indépendant du temps
Basic	Première année::Physique::Magnétisme et Induction	Lignes de \text{ch}amp	Courbes \text{tan}gentes en \text{ch}acun de leur point au vecteur \text{ch}amp et orienté dans le sens du \text{ch}amp.
Basic	Première année::Physique::Magnétisme et Induction	Topographie de \text{ch}amp	Étude des lignes de \text{ch}amp
Basic	Première année::Physique::Magnétisme et Induction	Carte de \text{ch}amp	Représentation de l'allure de quelques lignes de \text{ch}amp pour divers sources de \text{ch}amp
Basic	Première année::Physique::Magnétisme et Induction	Propriété de l'aimant	L'aimant créée un \text{ch}amp magnétique noté par le symbole \(\vec B\) en tout point de l'espace autour de lui. La plupart des aimants ont deux pôles où l'effet magnétique est le plus fort.
Basic	Première année::Physique::Magnétisme et Induction	Pôles d'un aimant	Les deux pôles d'un aimant sont appelés pôle nord et sud. Deux pôles différents s'attirent, deux pôles identiques se repoussent.
Basic	Première année::Physique::Magnétisme et Induction	Sens conventionnel du \text{ch}amp magnétique	Le \text{ch}amp magnétique sort du pôle nord de l'aimant
Basic	Première année::Physique::Magnétisme et Induction	Propriété d'un aiguille	Une aiguille aimantée s'oriente librement dans le sens Sud/Nord.
Basic	Première année::Physique::Magnétisme et Induction	Champ magnétique terrestre	\(B_T \cong 5.10^{-5}T\)
Basic	Première année::Physique::Magnétisme et Induction	Proportionnalité de la concentration des lignes de \text{ch}amp	La concentration des lignes de \text{ch}amp est proportionnelle au module du \text{ch}amp \(\vec B\)
Basic	Première année::Physique::Magnétisme et Induction	Interaction magnétiques et actions entre courants	Toutes les interactions magnétiques peuvent être assimilées à des actions entre courants.
Basic	Première année::Physique::Magnétisme et Induction	Champ créé par une distribution de courant	Une distribution quelconque \(D\) de courant produit une modification de l'espace qui l'entoure que l'on appelle \text{ch}amp magnétique \(\vec B\) On peut connaître le sens et la direction de \(\vec B\) en un point grâce à une aiguille aimantée.
Basic	Première année::Physique::Magnétisme et Induction	Proportionnalité du \text{ch}amp créé par un courant	Le \text{ch}amp magnétique \(\vec B\) créé par un courant éléctrique d'intensité \(i\) constante circulant dans un fil conducteur est proportionnel au courant: \(B = K \times i\). L'unité de \(B\) est le Tesla \(T\).
Basic	Première année::Physique::Magnétisme et Induction	Champ magnétique d'un fil rectiligne infini	Pour un fil rectiligne infini d'axe \(Oz\) parcouru par un courant \(i\) constant dans le sens des \(z\) croissants, en un point \(M\) selon ses coordonnées cylindriques: \(\vec B = \frac{\mu_0i}{2\pi r}\vec u_\theta\)
Basic	Première année::Physique::Magnétisme et Induction	Champ magnétique d'une spire circulaire	Pour une spire dans le plan \(xOy\), de rayon \(R\), pour un point \(M\) sur \(Oz\): \(\vec B = \frac{\mu_0 i}{2 R}\text{sin}^3 \alpha \vec u_z = B_{max} \frac{R^3}{(R^2 + z^2)^{3/2}}\vec u_z\) Avec \(\alpha\) l'angle en \(M\) entre \(Oz\) et un point de la spire
Basic	Première année::Physique::Magnétisme et Induction	Définition d'un solénoïde	Bobine longue constituée de \(N\) spires jointives, de rayon \(R\), de même axe, alignées sur une distance \(L\) et parcourues par le même courant d'intensité \(i\).
Basic	Première année::Physique::Magnétisme et Induction	Modèle du solénoïde infini	Modèle approché par une bobine cylindrique longue comportant un grand nombre \(N\) de spires, dont le rayon \(R\) est très petit devant la longueur \(L\). Caractérisée par le nombre de spires par unité de longueur \(n = \frac{N}{L}\). - À l'intérieur d'une bobine infinie, le \text{ch}amp est quasi uniforme parallèle à l'axe de la bobine. Sa norme est donnée par: \(\vec B = \mu_0ni\vec u_z\) - Le \text{ch}amp est nul à l'extérieur du solénoïde infini.
Basic	Première année::Physique::Magnétisme et Induction	Lignes de \text{ch}amp d'un \text{ch}amp uniforme	Quand le \text{ch}amp est uniforme, les lignes de \text{ch}amp sont parallèles.
Basic	Première année::Physique::Magnétisme et Induction	Champ magnétique résultant en présence de plusieurs sources	En présence de plusieurs sources de \text{ch}amp magnétique, le \text{ch}amp résultant est la somme vectorielle des \text{ch}amps magnétiques créés.
Basic	Première année::Physique::Magnétisme et Induction	Allure d'une source à grande distance	Une spire, une bobine longue, un aimant admettent tous trois des lignes de \text{ch}amp magnétique de même allure à grande distance.
Basic	Première année::Physique::Magnétisme et Induction	Dipôle magnétique	Source dont le \text{ch}amp magnétique et les interactions sont entièrement décrites par une valeur caractéristique appelée moment dipolaire magnétique \(\vec m\) définie par: \(\vec m = i.\vec S = i.S \vec n\), avec \(\vec m\) en \(A.m^{2}\)
Basic	Première année::Physique::Magnétisme et Induction	Équivalents aimants courant	Barreau ou aimant droit ⟷ Bobine longue Aiguille aimantée ⟷ Une boucle de courant
Basic	Première année::Physique::Magnétisme et Induction	Perméabilité du vide	\(\mu_0 = 4\pi \times 10^{-7} T.m.A^{-1}\)
Basic	Première année::Physique::Magnétisme et Induction	Comportement à grande distance des sources (dipôle)	Une grande partie des sources de \text{ch}amp magnétique se comportent à grande (devant la taille de la source) distance comme un dipôle magnétique.
Basic	Première année::Physique::Magnétisme et Induction	Force magnétique de Lorentz	La force subie par une particule de \text{ch}arge \(q\) de vitesse \(\vec v\) dans un \text{ch}amp \(\vec B\) s'écrit: \(\vec F_B = q \vec v \wedge \vec B\)
Basic	Première année::Physique::Magnétisme et Induction	Force de Laplace	La force de Laplace s'exerçant sur une portion de fil conducteur \(\vec {dl}\) parcouru par un courant \(i\), dans un \text{ch}amp magnétique \(\vec B\) vaut: \(\vec dF_{Lap} = i \vec{dl} \wedge \vec B\) La force totale sur le circuit est alors: \(\vec F_{Laplace} = \int_{conducteur} i \vec{dl} \wedge \vec B\)
Basic	Première année::Physique::Magnétisme et Induction	Résultante des forces de Laplace sur un tige rigide	Pour une tige rigide parcourue par un courant \(i\) dans un \text{ch}amp \(\vec B\): \(\vec F_{Laplace} = i.\vec {CD} \wedge \vec B\) Avec \(\vec {CD}\) dans le sens algébrique du courant. La force s'exerce au centre de la tige.
Basic	Première année::Physique::Magnétisme et Induction	Puissance de la force de Laplace colinéaire à \(\vec v\)	Pour une tige rigide en translation à la vitesse \(\vec v\) colinéaire à la force de Laplace, dans un \text{ch}amp magnétique \(\vec B\): \(P_{Lap} = \vec F_{Lap} \cdot \vec v = iLBv\)
Basic	Première année::Physique::Magnétisme et Induction	Couple de Laplace	Pour une source / un courant de moment dipôlaire \(\vec m\) dans un \text{ch}amp magnétique \(\vec B\), le moment de Laplace est: \(\vec \Gamma_{Lap} = \vec m \wedge \vec B\).
Basic	Première année::Physique::Magnétisme et Induction	Puissance des forces de Laplace sur un dipôle en rotation	\(P = \pm \Gamma \omega\), avec \(\omega\) la vitesse de rotation
Basic	Première année::Physique::Magnétisme et Induction	Equilibre d'un dipôle	A l'équilibre du système, le couple de Laplace s'annule, et \(\vec m\) de \(\vec B\) sont colinéaires
Basic	Première année::Physique::Magnétisme et Induction	Phénomène d'induction électromagnétique	Apparition d'une force électromotrice et donc souvent d'un courant induit dans un circuit en mouvement relatif par rapport à des sources de \text{ch}amp magnétique.
Basic	Première année::Physique::Magnétisme et Induction	Mouvement important dans l'induction	Mouvement relatif de la source et du circuit
Basic	Première année::Physique::Magnétisme et Induction	Sens du \text{ch}amp magnétique résultant de l'induction	Le sens du courant induit est tel qu'il génère à son tour un \text{ch}amp \(\vec B_{ind}\) tendant à s'opposer à la variation du \text{ch}amp magnétique imposée.
Basic	Première année::Physique::Magnétisme et Induction	Induction de Neumann	Induction liée au déplacement d'une source par rapport à un circuit fixe
Basic	Première année::Physique::Magnétisme et Induction	Induction de Lorentz	Induction liée au déplacement d'un circuit dans un \text{ch}amp magnétique uniforme.
Basic	Première année::Physique::Magnétisme et Induction	Caractéristique du flux	Le flux est une grandeur physique associée à une notion d'écoulement
Basic	Première année::Physique::Magnétisme et Induction	Vecteur surface	Vecteur caractérisant la surface, porté par la normale à la surface
Basic	Première année::Physique::Magnétisme et Induction	Contour fermé orienté	Boucle, càd ligne fermée sur elle-même, le long de laquelle on définit un sens de parcours
Basic	Première année::Physique::Magnétisme et Induction	Sens du vecteur surface	Selon le sens de parcours du contour, suivant la règle de la main droite.
Basic	Première année::Physique::Magnétisme et Induction	Flux total de \(\vec B\) à travers une surface de \(S\) de contour fermé orienté	\(\Phi = \int \int_S \vec B \cdot d \vec S\)
Basic	Première année::Physique::Magnétisme et Induction	Flux d'un \text{ch}amp \(\vec B\) constant	Le flux d'un \text{ch}amp \(\vec B\) uniforme à travers une surface \(S\) tendue sur un contour fermé orienté plan s'écrit: \(\Phi = \vec B \cdot \vec S = \vec B \cdot S \vec n\)
Basic	Première année::Physique::Magnétisme et Induction	Loi de Faraday	Lorsque le flux de \(\vec B_{tot}\), appelé \(\Phi (t)\), varie dans le temps, le circuit est siège d'une force électromotrice induite notée \(e\), orientée conventionnellement dans le même sens que \(i\) (convention générateur), telle que : \(e = -\frac{d\Phi}{dt}\).
Basic	Première année::Physique::Magnétisme et Induction	Champ propre	Champ \(\vec B_{ind}\) ou \(\vec B_{propre}\) engendré par le courant induit par la variation de flux dans un circuit. Généralement négligeable devant \(\vec B_{ext}\), sauf pour les circuits bobinés avec un grand nombre de spires.
Basic	Première année::Physique::Magnétisme et Induction	Cas de phénomènes d'induction	- Circuit déformable dans un \text{ch}amp \(\vec B\) uniforme: la surface tendue sur ses contours varie dans le temps - Circuit indéformable mais mobile dans \(\vec B\) constant Ces deux cas relèvent de l'induction de Lorentz - Circuit fixe dans un \text{ch}amp \(\vec B(t)\) qui dépend du temps : induction de Neumann
Basic	Première année::Physique::Magnétisme et Induction	Méthode de résolution induction	- Orienter arbitrairement le circuit (càd le contour), en \text{ch}oisissant un sens pour \(i\). - Déduire le sens de \(\vec S\) avec un sens cohérent - Calculer le flux \(\Phi = \vec B \cdot \vec S\) (Essayer de faire en sorte que \(\Phi\) soit positif au départ). - Calculer \(e = -\frac{d\Phi}{dt}\) - Dessiner le schéma équivalent au circuit (schéma de départ avec un générateur de FEM \(e\) dans le même sens que \(i\)) - Trouver les équations électriques données par le schéma équivalent
Basic	Première année::Physique::Magnétisme et Induction	Loi de Lenz	Les effets de l'induction s'opposent aux causes qui leur ont donné naissance
Basic	Première année::Physique::Magnétisme et Induction	Auto-induction	Phénomène d'induction du à un \text{ch}amp \(\vec B\) créé par le circuit lui-même.
Basic	Première année::Physique::Magnétisme et Induction	Flux propre	Flux du \text{ch}amp magnétique \(\vec B_{propre}\) créé par un circuit filiforme à travers la surface \(S\) s'appuyant sur les contours du circuit. Ce flux vaut \(\Phi_p = \int \int_S \vec B_{propre}\cdot d\vec S\), en Weber (\(T.m^2\)).
Basic	Première année::Physique::Magnétisme et Induction	Proportionnalité du flux propre	Le flux propre est proportionnel à l'intensité traversant le circuit: \(\Phi_p(t) = L_p \times i(t)\) Le coefficient de proportionnalité \(L_p\) s'appelle inductance propre. Son unité est le Henry.
Basic	Première année::Physique::Magnétisme et Induction	Inductance propre solénoïde	\(L_p = \frac{\mu_0 N^2 S}{l} = \mu_0 n^2 l S\)
Basic	Première année::Physique::Magnétisme et Induction	Relation entre \(N\) et l'inductance pour un solénoïde	L'inductance est proportionnelle au carré de \(N\)
Basic	Première année::Physique::Magnétisme et Induction	Expression FEM auto-induite	\(e_{auto-ind}\) ou \(e_L = -\frac{d\Phi_p}{dt} = -L\frac{di}{dt}\)
Basic	Première année::Physique::Magnétisme et Induction	Modélisation de l'auto-induction	L'auto-induction peut être modélisée par une source idéale de FEM ou une inductance.
Basic	Première année::Physique::Magnétisme et Induction	Modélisation de l'inductance sans \text{ch}amp extérieur	Sans \text{ch}amp extérieur, le phénomène d'auto-induction équivaut à ajouter un bobine d'inductance égale à l'inductance propre \(L\) du circuit.
Basic	Première année::Physique::Magnétisme et Induction	Méthode de résolution \text{ch}amp variable avec auto-induction	- Orienter le circuit (\(i\) et \(\vec S\) cohérents) - Calculer le flux total dû à \(\vec B_{propre} et \vec B_{ext}\) - Calculer la FEM induite \(e = e_{ext} + e_L\) - Représenter le schéma électrique équivalent constitué des éléments réellement présents dans le circuit auquel on ajoute la FEM induite en convention générateur. Pour l'auto-induction, soit le générateur contient \(e_{ext} + e_L\), soit on ajoute une inductance dans le circuit. - On obtient l'équation électrique du circuit.
Basic	Première année::Physique::Magnétisme et Induction	Énergie magnétique	Un circuit magnétique d'inductance propre \(L\) parcouru par un courant d'intensité \(i\) possède une énergie magnétique: \(E_{magn} = \frac{1}{2}Li^2\)
Basic	Première année::Physique::Magnétisme et Induction	Inégalité de l'inductance mutuelle	\(M^2 \le L_1L_2\)
Basic	Première année::Physique::Magnétisme et Induction	Induction mutuelle	Un couplage par induction mutuelle existe entre deux circuits électriques lorsque la variation du \text{ch}amp magnétique créé par l'un est sensible dans l'autre: \(\Phi_1 = L_1i_1 + Mi_2\) et \(\Phi_2 = L_2i_2 + Mi_1\)
Basic	Première année::Physique::Magnétisme et Induction	Inductance mutuelle pour deux bobines de même longueur en influence totale	\(M = \mu_0 \frac{N_1N_2S}{l}\)
Basic	Première année::Physique::Magnétisme et Induction	Influence totale	Situation où la totalité du \text{ch}amp créé par un circuit traverse un autre circuit et réciproquement.
Basic	Première année::Physique::Magnétisme et Induction	Energie magnétique de deux circuits couplés par induction mutuelle	\(E_{magné} = \frac{1}{2}L_1i_1^2 + \frac{1}{2}L_2i_2^2 + Mi_1i_2\)
