#separator:tab
#html:false
#notetype column:1
#deck column:2
Basic	Première année::Physique::Physique quantique	Deux grands concepts de le physique quantique	Corpuscules et ondes
Basic	Première année::Physique::Physique quantique	Corpuscule	Infime quantité de matière capable de transmettre de l'énergie \(E\) et de la quantité de mouvement \(\vec p\). Sa trajectoire est parfaitement définie
Basic	Première année::Physique::Physique quantique	Onde	Transmission d'énergie utilisant un espace relativement grand, caractérisée par sa fréquence.
Basic	Première année::Physique::Physique quantique	Effet photoélectrique	Éjection d'électrons à la surface d'un matériau (généralement un métal) sous l'effet d'un rayonnement lumineux convenable.
Basic	Première année::Physique::Physique quantique	Condition pour l'effet photoélectrique	Le rayonnement doit atteindre une fréquence seuil pour qu'un électron soit émis quelque soit l'intensité du rayonnement. Cette fréquence seuil en général appelée \(f_s\) ou \(\nu_s\) ne dépend que de la nature du métal.
Basic	Première année::Physique::Physique quantique	Nombre d'électrons éjectés par effet photoélectrique	Si la fréquence du rayonnement \(f \ge f_s\), alors le nombre d'électrons éjectés est proportionnel à la puissance lumineuse. Si \(f < f_s\), rien ne se passe.
Basic	Première année::Physique::Physique quantique	Photon	Plus petite fraction possible d'une onde lumineuse monochromatique donnée. - Il forme un quantum d'énergie lumineuse: \(E = h\nu = h \frac{c}{\lambda}\), où \(h\) est la constante de Planck. - Sa masse est nulle, sa vitesse égale à la célérité de la lumière dans le vide.
Basic	Première année::Physique::Physique quantique	Constante de Planck	\(h = 6,626 \times 10^{-34}J.s\)
Basic	Première année::Physique::Physique quantique	Électron-volt	\(1ev = 1.6 \times 10^{-19} J\)
Basic	Première année::Physique::Physique quantique	Nombre de photons causant l'éjection d'un électron	L'éjection d'un électron par effet photoélectrique résulte toujours de l'action d'un seul photon.
Basic	Première année::Physique::Physique quantique	Équations de l'effet photoélectrique	\(E = W_{ext} + E_c = h\nu_s + E_c\) Le surplus d'énergie est l'énergie cinétique maximale communiquée à l'électron libéré: \(E_c = \frac{1}{2}m_ev_e^2 = h\nu - h\nu_s\)
Basic	Première année::Physique::Physique quantique	Impulsion d'un photon	Vecteur dont la direction et le sens sont ceux du déplacement du photon; sa norme est: \(p = \frac{E}{c} = \frac{h}{\lambda} = \frac{h}{2\pi}k\). L'impulsion s'exprime en \(J.s.m^{-1}\). Il s'agit de l'autre relation de Planck-Einstein.
Basic	Première année::Physique::Physique quantique	Quantification de l'énergie et de l'impulsion	L'énergie et l'impulsion sont quantifiées: Pour une onde électromagnétique de longueur d'onde \(\lambda\), la plus petit quantité d'énergie et la plus petite impulsion sont celles du photon. \(h\) est le quantum d'action.
Basic	Première année::Physique::Physique quantique	Dualité onde-corpuscule	"Toute particule de quantité de mouvement \(\vec p\) possède un comportement ondulatoire et peut être décrite par une onde monochromatique dite ""onde de matière"" possédant une longueur d'onde \(\lambda\) telle que \(\lambda = \frac{h}{p}\)."
Basic	Première année::Physique::Physique quantique	"Relation dualité onde-corpuscule de ""Louis de Broglie"""	\(p = \frac{hf}{c} = \frac{h}{\lambda}\)
Basic	Première année::Physique::Physique quantique	Principe fondamental de la physique quantique	Dualité onde-corpuscule
Basic	Première année::Physique::Physique quantique	Nécéssité de la description quantique	Avec \(L\) la dimension caractéristique de l'environnement avec lequel la particule agit: si \(\lambda << L\), une approche classique peut suffire. si \(\lambda \sim L\), une approche quantique est nécéssaire.
Basic	Première année::Physique::Physique quantique	Particule associée à l'onde lumineuse	Photon
Basic	Première année::Physique::Physique quantique	Dualité onde-corpuscule de la lumière	La nature de la lumière est simultanément corpusculaire et ondulatoire, même pour la lumière associée à un unique photon.
