#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique	Première année::Physique::Thermodynamique	Corps pur	Constituant unique caractérisé par une formule \text{ch}imique définie
Basique	Première année::Physique::Thermodynamique	Phase solide	Phase la plus compacte et ordonnée - Forme et volume propre - Ne peut s'écouler. Les particules ont des positions d'équilibre définies et régulièrement disposées - Distances inter-particulaires faibles : ordre moléculaire à longue portée
Basique	Première année::Physique::Thermodynamique	Phase liquide	Phase compacte mais plus désordonnée - Pas de forme propre mais volume propre invariable. Peut s'écouler. - Les particules de la phase ont des positions aléatoires et peuvent se déplacer les unes par rapport aux autres. Ordre moléculaire à courte portée. - Distance moyenne entre les particules de l'ordre de la taille des particules
Basique	Première année::Physique::Thermodynamique	Phase gazeuse	Phase dispersée et désordonnée - Ni forme propre ni volume propre. Peut s'écouler - Les particules occupent des positions d'équilibres bien définies et régulièrement disposées. - La distance entre les particules est bien plus grande que leur taille : pas d'ordre moléculaire. - Interaction entre particules faibles voire nulles
Basique	Première année::Physique::Thermodynamique	Diffusion d'un gaz	Dans tout le volume offert, pas de forme propre
Basique	Première année::Physique::Thermodynamique	Etat condensé	Etat solide ou liquide. Quasi incompressible (V quasi-constant)
Basique	Première année::Physique::Thermodynamique	Ordre de grandeur masse volumique état condensé	\(\rho = 10^3 kg.m^{-3}\)
Basique	Première année::Physique::Thermodynamique	Modèle de la phase condensée	Corps incompressible, indilatable (V = const)
Basique	Première année::Physique::Thermodynamique	Etat fluide	Etat liquide ou gazeux
Basique	Première année::Physique::Thermodynamique	Gaz	Fluides compressibles
Basique	Première année::Physique::Thermodynamique	Densité des gaz	Par rapport à l'air : \(\rho = 1,3 kg.m^{-3}\)
Basique	Première année::Physique::Thermodynamique	Liquides	Fluides quasi-incompressibles
Basique	Première année::Physique::Thermodynamique	Volume molaire d'un gaz parfait (CNTP)	Loi d'avogadro-Ampère : \(V_m = 22.4 L.mol^{-1}\)
Basique	Première année::Physique::Thermodynamique	Conditions normales de température et pression (C.N.T.P.)	t = 0°C = 273.15K et P = 1.013 bar (Pression atmos)
Basique	Première année::Physique::Thermodynamique	Ordre de grandeur densité gaz par rapport à liquide	\(n_l^* \approx 10^3 n_g^*\), 1000 fois plus dense
Basique	Première année::Physique::Thermodynamique	Echelle microscopique	Echelle d'une particule élémentaire de l'ordre de \(10^{-10} m\) - Matière discontinue, approche quantique nécéssaire - Chaque constituant se comporte individuellement comme un point matériel libre entre deux \text{ch}ocs
Basique	Première année::Physique::Thermodynamique	Libre parcours moyen	Distance \(l_p\) moyenne du déplacement entre deux \text{ch}ocs successifs de particules
Basique	Première année::Physique::Thermodynamique	Echelle macroscopique	Echelle correspondant à la taille L des objets du quotidien : \(L \approx 10^{-3}\) à 1m - Les propriétés à cette échelles sont des grandeurs mesurables (pression ou moles) ou repérables (températures)
Basique	Première année::Physique::Thermodynamique	Nombre d'avogadro	\(N_A \approx 6.02 \times 10^{23}\)
Basique	Première année::Physique::Thermodynamique	Ordre de grandeur du nombre de particules dans un conteneur à l'échelle macroscopique	Ordre du nombre d'Avogadro
Basique	Première année::Physique::Thermodynamique	Echelle mésoscopique	Echelle intermédiaire entre macroscopique et mésoscopique - La matière est encore continue: grandeurs définies, considérées comme uniformes - Dimension de l'ordre du micromètre
Basique	Première année::Physique::Thermodynamique	Pression p(M)	Grandeur scalaire intensive définie en M telle que \(d\vec F = p(M)d\vec S\) La pression p est la force par unité de surface exercée par un système sur une paroi. Unité : Pascal Pa
Basique	Première année::Physique::Thermodynamique	Température	En K, Mesure macroscopique du degré d'agitation microscopique moyenne des particules du système, nulle quand \text{ch}aque particule est immobile
Basique	Première année::Physique::Thermodynamique	Système \text{th}ermodynamique macroscopique	"Ensemble de corps macroscopiques contenant un très grand nombre de particules séparé du milieu extérieur (""reste de l'univers"") par une surface frontière ""de contrôle"". Cette surface est réelle ou fictive."
Basique	Première année::Physique::Thermodynamique	Paroi diathermane	Paroi qui permet une transfert \text{th}ermique entre le système et l'extérieur
Basique	Première année::Physique::Thermodynamique	Transformation d'un système	Evolution du système dans le temps
Basique	Première année::Physique::Thermodynamique	Système ouvert	Système avec transfert de matière et d'énergie avec l'extérieur.
Basique	Première année::Physique::Thermodynamique	Système fermé	Système sans tranfert de matière, nombre de particules fixe. Seuls les transferts d'énergie sont possibles.
Basique	Première année::Physique::Thermodynamique	Système isolé	Système sans tranfert de matière ou d'énergie.
Basique	Première année::Physique::Thermodynamique	Etat d'un système	Ensemble de caractéristiques microscopiques traduites par des grandeurs d'état, à un instant t, qui définit les conditions dans lequel se trouve le système.
Basique	Première année::Physique::Thermodynamique	Grandeur d'état	Grandeur physique macroscopique mesurable associée au système, définie expérimentalement.
Basique	Première année::Physique::Thermodynamique	Grandeur d'état extensive	Grandeur additive, liée à la dimension du système et proportionnelle à la quantité de matière.
Basique	Première année::Physique::Thermodynamique	Grandeur d'état intensive	Grandeur d'état définie localement en \text{ch}aque point du système, non additive et indépendante de la quantité de matière.
Basique	Première année::Physique::Thermodynamique	Grandeur intensive uniforme	Grandeur intensive ne dépendant pas de la position
Basique	Première année::Physique::Thermodynamique	Milieu homogène	Milieu où les grandeurs intensives sont uniformes.
Basique	Première année::Physique::Thermodynamique	Notation grandeur molaire	Majuscule, avec m en indice : \(X_m = \frac{X}{n}\)
Basique	Première année::Physique::Thermodynamique	Notation grandeur massique	Minuscule sans indice : \(x = \frac{X}{m}\)
Basique	Première année::Physique::Thermodynamique	Variance \(v\) d'un système	nombre de paramètres intensifs et indépendants caractérisant un état d'équilibre.
Basique	Première année::Physique::Thermodynamique	Variance d'un fluide	En général, \(v = 2\) grandeurs d'état : Pression p en Pa et température T en K.
Basique	Première année::Physique::Thermodynamique	Donner une représentation d'un système	Choisir des paramètres d'états bien adaptés à la situation et en nombre suffisant.
Basique	Première année::Physique::Thermodynamique	Etat d'équilibre macroscopique d'un système	Pas de variation des paramètres d'état dans le temps et absence de transfert avec l'extérieur
Basique	Première année::Physique::Thermodynamique	Paramètres d'équilibres	Paramètres intensifs caractérisant l'équilibre. Rupture d'équilibre s'ils varient.
Basique	Première année::Physique::Thermodynamique	Equilibre \text{th}ermique	Température uniforme et n'évolue pas.
Basique	Première année::Physique::Thermodynamique	Conditions équilibre mécanique	Les résultantes des forces sur les parties mobiles du systèmes sont nulles, pression uniforme et n'évolue pas. Equilibre des pressions de part et d'autre de (S)
Basique	Première année::Physique::Thermodynamique	Equilibre \text{ch}imique	Le système tend vers une composition uniforme des constituants.
Basique	Première année::Physique::Thermodynamique	Temps équilibre mécanique	Quasi instantané
Basique	Première année::Physique::Thermodynamique	Temps équilibre \text{th}ermique	Très long devant l'équilibre mécanique
Basique	Première année::Physique::Thermodynamique	Etat stationnaire	Etat où les paramètres d'état restent constants, avec transferts possibles.
Basique	Première année::Physique::Thermodynamique	Propriété de la température	Propriété commune à tous les corps en équilibre quelque soit leur nature, grandeur intensive repérable
Basique	Première année::Physique::Thermodynamique	Principe 0 de la \text{th}ermodynamique	Deux corps mis en contact tendent à acquérir un état d'équilibre \text{th}ermodynamique : ils sont alors à la même température. Deux corps en équilibre avec un troisième sont en équilibre entre eux
Basique	Première année::Physique::Thermodynamique	Représentation vectorielle d'un élément de surface	Vecteur \(\overrightarrow {dS} \) porté par la normale à la surface, du fluide vers le solide, de norme \(dS\)
Basique	Première année::Physique::Thermodynamique	Résultante des forces pressantes \(\overrightarrow {dF}\)	Moyenne des actions des particules sur la paroi pendant dt
Basique	Première année::Physique::Thermodynamique	Définition Bar	1 Bar = \(10^5\) Pa
Basique	Première année::Physique::Thermodynamique	Pression en tout point d'une paroi	Identique
Basique	Première année::Physique::Thermodynamique	Définition pression cinétique \(p_c\)	Chocs des particules sur les parois du récipient
Basique	Première année::Physique::Thermodynamique	Phase	Partie d'un système dont les paramètres intensifs varient continuellement en fonction de la position
Basique	Première année::Physique::Thermodynamique	Phase uniforme	Partie d'un système dont les grandeurs intensives sont uniformes
Basique	Première année::Physique::Thermodynamique	Système à une phase	Système homogène monophasé
Basique	Première année::Physique::Thermodynamique	Système à deux phases	système hétérogène diphasé
Basique	Première année::Physique::Thermodynamique	Système à plusieurs phases	Système hétérogène polyphasé
Basique	Première année::Physique::Thermodynamique	Équation d'état	Relation mathématique de dépendance entre les différentes variables d'état décrivant un système en équilibre macroscopique
Basique	Première année::Physique::Thermodynamique	Équation d'état modèle GP	\(pV = nRT\) avec R la constante des gaz parfaits
Basique	Première année::Physique::Thermodynamique	Constante des gaz parfaits	\(R = 8.314 J.K^{-1}.mol^{-1}\)
Basique	Première année::Physique::Thermodynamique	Fonction d'état	Fonction qui ne dépend que des grandeurs d'état du système (souvent à plusieurs variables)
Basique	Première année::Physique::Thermodynamique	Modèle du GP et rôle	Modèle \text{th}ermodynamique décrivant le comportement de tous les gaz réels aux très faibles pressions. Le gaz parfait est un gaz idéal.
Basique	Première année::Physique::Thermodynamique	Modèle du gaz parfait monoatomique (GPM)	On suppose le gaz constitué de N particules ponctuelles et sans interactions entre elles, seuls restent les interactions avec les parois du récipient.
Basique	Première année::Physique::Thermodynamique	Pression cinétique d'un GPM	\(p(M) = \frac{1}{3}n^*mv^{*2}\) Où \(n^*\) est la densité de particules et \(v^*\) la vitesse quadratique moyenne
Basique	Première année::Physique::Thermodynamique	Energie cinétique moyenne par particule	\(\langle E_c \rangle = \frac{1}{2}mv^{*2} = \frac{3}{2} k_B T\)
Basique	Première année::Physique::Thermodynamique	Température cinétique	Mesure macroscopique de l'agitation \text{th}ermique des particules
Basique	Première année::Physique::Thermodynamique	Température cinétique pour un GPM	\(T_c = \frac{mv^{*2}}{3k_B}\)
Basique	Première année::Physique::Thermodynamique	Diagramme de Clapeyron	Diagramme pression en fonction du volume ou du volume massique
Basique	Première année::Physique::Thermodynamique	Diagramme d'Amagat	Diagramme de \(pV\) ou \(pV_m\) en fonction de la pression p.
Basique	Première année::Physique::Thermodynamique	Masse molaire de l'air	\(M_{air} = 29g.mol^{-1}\)
Basique	Première année::Physique::Thermodynamique	Équation d'état modèle condensé	\(V = nV_m = const\)
Basique	Première année::Physique::Thermodynamique	Energie interne	U mesurée en Joules J Énergie des particules microscopiques du système Σ, c'est à dire: - L'énergie cinétique de ces particules - L'énergie potentielle d'interaction de ces particules \(U = E_{c, micro} + E_{p, micro}\)
Basique	Première année::Physique::Thermodynamique	Capacité \text{th}ermique à volume constant	Grandeur extensive mesurée en Joules par Kelvin \(J.K^{-1}\) pour un système \text{th}ermodynamique fermé Σ. Définie à volume constant par: \(dU = C_VdT\) ou \(C_V = \frac{dU}{dT}\) On peut aussi l'écrire en dérivée partielle
Basique	Première année::Physique::Thermodynamique	Variation globale d'énergie interne avec la capacité \text{th}ermique à volume constant 	\(U_f - U_i = \int_{U_i}^{U_f}dU = \int_{U_i}^{U_f}C_V(T)dT\)
Basique	Première année::Physique::Thermodynamique	Capacité \text{th}ermique molaire à volume constant 	\(C_{Vm}=\frac{C_V}{m}\) en \(J.K^{-1}.mol^{-1}\)
Basique	Première année::Physique::Thermodynamique	Capacité \text{th}ermique massique à volume constant 	\(c_V = \frac{C_V}{m}\) en \(J.kg^{-1}.K^{-1}\)
Basique	Première année::Physique::Thermodynamique	Constante de Boltzmann	\(k_B = \frac{R}{N_A} = 1.38 \times 10^{-23} J.K^{-1}\)
Basique	Première année::Physique::Thermodynamique	Energie interne d'un GPM	\(U_{GPM} = \frac{3}{2}nRT = \frac{3}{2}Nk_bT\) Somme des énergies cinétiques des particules le constituant.
Basique	Première année::Physique::Thermodynamique	Capacité \text{th}ermique molaire valeur numérique et totale GPM à volume constant selon R	\(C_V = \frac{3}{2}nR\) \(C_Vm = \frac{3}{2}R = 12.5 J.K^{-1}.mol^{-1}\)
