#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Suite convergente / divergente	Une suite est divergente si elle admet une limite réelle et divergente sinon.					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Limites monotones	Toute suite croissante (APCR) a une limite réelle ou \( +\infty\), selon si elle est majorée ou non. De même pour les suites décroissantes. La monotonie est une condition suffisante d'existence de limite réelle ou infinie.					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Suites adjacentes	 \( (u_n), (v_n) \in \mathbb R^{\mathbb N} \) sont adjacentes ssi \( (u_n) \) est croissante, \( (v_n) \) décroissante et \( u_n - v_n \xrightarrow[n \rightarrow +\infty]{} 0\).					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Comparaison des suites adjacentes	Si deux suites \( (u_n), (v_n) \) sont adjacentes, \( u_n \le v_n\).					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Convergence des suites adjacentes	Deux suites adjacentes convergent et ont la même limite.					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Bolzano-Weierstrass	Toute suite réelle bornée admet au moins une valeur d'adhérence.					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Caractérisation topologique des valeurs d'adhérence	\( a \in \mathbb R \) est une valeur d'adhérence de \( u \in \mathbb R^{\mathbb N} \) ssi:  \( \forall \varepsilon > 0, \forall N \in \mathbb N, \exists n \ge N, |u_n - a| \le \varepsilon\)					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Bolzano-Weierstrass, extension complexe	Toute suite complexe bornée \( (u_n) \) admet au moins une valeur d'adhérence, et \( (u_n)\) converge vers cette valeur si elle est unique.					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Suite de Cauchy	Une suite \( u \in \mathbb K^{\mathbb N} \) est de Cauchy ssi:  \( \forall \varepsilon > 0, \exists n_0 \in \mathbb N, \forall n \ge n_0, \forall m \ge n_0, |u_n - u_m| \le \varepsilon\)					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Propriétés des suites de Cauchy	- Toute suite de Cauchy est bornée - Toute suite convergente est de Cauchy					
Basique Maths	Seconde année::Mathématiques::Rappels et compléments d'analyse réelle de première année	Convergence des suites de Cauchy	Toute suite de Cauchy à valeurs dans \( \mathbb K = \mathbb R , \mathbb C\) y est convergente.					
Basique Maths	Seconde année::Physique::Cinématique et changement de référentiel	Référentiel	Un référentiel est défini par l'association d'un ensemble de points fixes les uns par rapport aux autres et d'une horloge					
Basique Maths	Seconde année::Physique::Cinématique et changement de référentiel	Repère	Association d'une origine et d'une base de l'espace, fixes dans le référentiel d'étude et d'une échelle de longueur (usu: mètre). En dimension 3, il suffit de se donner 4 points fixes (non coplanaires) pour définir un repère.					
Basique Maths	Seconde année::Physique::Cinématique et changement de référentiel	Référentiel de Copernic	Défini par le centre de masse C du système solaire et 3 étoiles distantes, usu. muni du repère d'origine C et trois axes joignant C aux étoiles lointaines.					
Basique Maths	Seconde année::Physique::Cinématique et changement de référentiel	Référentiel géocentrique	Défini par 3 étoiles lointaines et le centre de masse T de la terre, usu. muni du repère d'origine T et d'axes joignant T aux étoiles.					
Basique Maths	Seconde année::Physique::Cinématique et changement de référentiel	Référentiel terrestre	Référentiel de la Terre assimilée à un solide. Usuellement muni d'un repère dont l'origine est au centre de masse de la Terre et l'un des axes est l'axe des pôles géographiques.					
Basique Maths	Seconde année::Physique::Cinématique et changement de référentiel	Référentiel du sol	Référentiel lié au sol. On peut lui adjoindre un repère dont les axes correspondent à des lignes du paysage.					
Basique Maths	Seconde année::Physique::Cinématique et changement de référentiel	Formule de dérivation vectorielle	 \( (\frac{d\overrightarrow u}{dt})_R = (\frac{d\overrightarrow u}{dt})_{R'} + \overrightarrow \Omega_{R'/R} \wedge \overrightarrow u\)					
Basique Maths	Seconde année::Physique::Cinématique et changement de référentiel	Vitesse d'entraînement	La vitesse d'entraînement en \( M \) est \( \overrightarrow {v_e(M)} = \overrightarrow {v_R(O')} + \overrightarrow{\Omega_{R'/R}} \wedge \overrightarrow{O'M}\)					
Basique Maths	Seconde année::Physique::Cinématique et changement de référentiel	Référentiels en translation	R' est en translation par rapport à R si les axes de R' gardent une direction constante par rapport à ceux de R au cours du temps.					
Basique Maths	Seconde année::Physique::Cinématique et changement de référentiel	Types de translation selon la trajectoire	Trajectoire en ligne : Translation rectiligne Trajectoire en crecle : Translation circulaire Autre : Translation curviligne					
Basique Maths	Seconde année::Physique::Cinématique et changement de référentiel	Translation et rotation : point / solide	Les notions de translation et rotation n'ont de sens que pour un solide et non pour un point.					
Basique Maths	Seconde année::Physique::Cinématique et changement de référentiel	Loi de composition pour des référentiels en translation	 \( \overrightarrow{v_R(M)} = \overrightarrow{v_R(O')} + \overrightarrow{v_{R'}(M)}\)					
Basique Maths	Seconde année::Physique::Cinématique et changement de référentiel	Loi de composition des vitesses	 \( \overrightarrow{v_R(M)} = \overrightarrow{v_R(O')} + \overrightarrow{v_{R'}(M)} + \overrightarrow{\Omega_{R'/R}} \wedge \overrightarrow{O'M}\)					
