#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique Maths	Seconde année::Informatique::Apprentissage	Types de problèmes d'apprentissage	- Classification : catégoriser une entrée - Régression : associer une valeur numérique à une entrée - Partitionnement / Clustering : on veut créer des classes d'équivalence dans un ensemble de données
Basique Maths	Seconde année::Informatique::Apprentissage	Apprentissage supervisé / non supervisé	L'apprentissage est supervisé si on connaît déja de l'information sur certaines données. Si on n'a pas d'information, l'apprentissage est non supervisé.
Basique Maths	Seconde année::Informatique::Apprentissage	Algorithme des K plus proches voisins	Pour catégoriser \( x \) , on trouve les \( k\) plus proches voisins parmi les points connus, et on renvoie la catégorie majoritaire dans ces éléments. On peut utiliser plusieurs normes. 
Basique Maths	Seconde année::Informatique::Apprentissage	Une complexité possible de l'algorithme des \(k\) plus proches voisins	L'algorithme des \( k \) plus proches voisins peut être implémenté en \( O(N)\). 
Basique Maths	Seconde année::Informatique::Apprentissage	Matrice de confusion	Avec des données \( X \) , une classification \( c : X \to \{1, \dots, m\} \) et un fonction de classification \( f \) , la matrice de confusion est \( M = (m_{i,j}) \) , où \( m_{i,j} = |\{x \in X | c(x) = i, f(x) = j\}|\)
Basique Maths	Seconde année::Informatique::Apprentissage	Arbre k-dimensionnel	Un arbre \( d \) -dimensionnel est un arbre binaire dont les noeuds sont étiquetés de telle manière que: - pour chaque noeud \( x \) , les noeuds dans le fils gauche et le fils droit de \( x \) sont séparés par un hyperplan passant par \( x \) . - si le noeud \( x \) est de profondeur \( \equiv p[d] \) , alors cet hyperplan est normal au vecteur \( e_{p+1}\).
Basique Maths	Seconde année::Informatique::Apprentissage	Complexité de la recherche des plus proches voisins dans un arbre k-dimensionnel	Dans un arbre \( d \) -dimensionnel, la complexité de la recherche des \( K \) plus proches voisins est: - en moyenne \( \mathcal O(K(\log( K) + d) + d \log (N)) \)  - dans le pire cas \( \mathcal O(N(d + \log N))\)
Basique Maths	Seconde année::Informatique::Apprentissage	Arbre de décision	Un arbre de décision est un arbre dont: - les feuilles sont étiquetées par des numéros de classes - les noeuds internes sont des questions / des attributs et les fils correspondent chacun à une réponse / une valeur / un plage de valeurs.
Basique Maths	Seconde année::Informatique::Apprentissage	Entropie de Shannon	On définit l'entropie de Shannon de \( E \) :  \( H(E) = -\sum\limits_{j = 1}^m\frac{|C_j|}{N}\log(\frac{|C_j|}{N}) \) , où \( C_j = \{x \in E | c(x) = j\}\).
Basique Maths	Seconde année::Informatique::Apprentissage	Gain d'entropie	Avec \( E_{a = a_k} = \{x \in E | a(x) = a_k\} \) , le gain d'entropie selon \( a \) est  \( G(E,a) = H(E) - \sum\limits_{k = 1}^p\frac{|E_{a = a_k}|}{N}H(E_{a = a_k})\)
Basique Maths	Seconde année::Informatique::Apprentissage	Algorithme ID3	- Si tous les éléments de \( E \) sont dans la même classe : créér une feuille correspondant à cette classe - Si \( E = \varnothing \) : on crée une feuille correspondant à la classe majoritaire du noeud parent. - Sinon, soit \( a \) l'attribut qui maximise \( G(E,a) \) . On construit un noeud \( a \) ayant pour fils les arbres construits par récurrence sur \( E_{a=a_1}, \dots, E_{a = a_k}\)
Basique Maths	Seconde année::Informatique::Apprentissage	Clustering hiérarchique ascendant (CHA)	On créé une classe par élément, et on fusionne les deux classes les plus proches tant que nécéssaire
Basique Maths	Seconde année::Informatique::Apprentissage	Problème CLUSTERING	Le problème CLUSTERING consiste à partitionner un ensemble \( E \) en un nombre fini de classes \( C_1, \dots, C_m \) pour minimiser \( \sum\limits_{j = 1}^m\sum_{x \in C_j}\delta(x, b_j)^2\). CLUSTERING est NP-difficile.
Basique Maths	Seconde année::Informatique::Apprentissage	Algorithme des k-moyennes	- Créer des points \( b_1, \dots, b_m \) au hasard - Tant que nécéssaire: *Créer les classes associées aux \( (b_i) \)  *Mettre à jour les barycentres \( (b_i)\)
Basique Maths	Seconde année::Informatique::Apprentissage	Complexité des k-moyennes	Chaque itération des k-moyennes a une complexité \( \mathcal O(m \times N \times d)\).
Basique Maths	Seconde année::Informatique::Apprentissage	Terminaison des\(k\)-moyennes	L'algorithme des \( k\)-moyennes termine.
