#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Expérience aléatoire et univers	Une expérience aléatoire est une expérience renouvelable qui ne donne pas nécéssairement le même résultat. L'ensemble des issues possibles est appelé univers et usuellement noté \( \Omega\).
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Évènements	Un évènement est une partie \( A \) de l'univers \( \Omega \) . Un évènement est réalisé si le résultat de l'expérience \( \omega \) est un élément de \( A\).
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Évènement certain, impossible, élémentaire	L'évènement certain est \( \Omega \) , l'évènement impossible est \( \varnothing \) . Un élément élémentaire est un singleton de \( \Omega\).
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Système complet d'évènements	On appelle système complet d'évènements toute famille au plus dénombrable d'évènements deux à deux incompatibles dont l'union est l'évènement certain, i.e. toute famille \( (A_i)_{i \in I} \) au plus dénombrable d'évènements de \( \Omega \) telle que:  \( \forall i \ne j \in I, A_i \cap A_j = \varnothing \) et \( \bigcup\limits_{i \in I}A_i = \Omega\).
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Tribu	Une tribu \( \mathcal A \) est un ensemble de parties de \( \Omega \) tel que: - \( \Omega \in \mathcal A \)  - \( A \in \mathcal A \Rightarrow \bar A \in \mathcal A \)  - \( \seq A_n \in \mathcal A^\N \Rightarrow \bigcup\limits_{ n \in \N} \in \mathcal A\)
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Tribu grossière	Tribu \( \mathcal A = \{\varnothing, \Omega\}\).
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Propriétés des tribus	Pour toute tribu \( \mathcal A \) : - \( \varnothing \in \mathcal A \)  - \( \mathcal A \) est stable par intersection dénombrable - \( \mathcal A \) est stable par union et intersections finies - \( \mathcal A\) est stable par différence ensembliste
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Espace probabilisable	Un espace probabilisable est un couple \( (\Omega, \mathcal A) \) , où \( \mathcal A \) est une tribu sur \( \Omega\).
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Probabilité	Une probabilité sur \( (\Omega, \mathcal A) \) est une fonction \( \P : \mathcal A \to \R_+ \) telle que: - \( \P(\Omega) = 1 \)  - \( \sigma \) -additivité: avec \( \seq A_n \in \mathcal A^\N \) une famille d'évènements deux à deux incompatibles. Alors:  \( \P(\bigsqcup\limits_{n = 0}^{+\infty}A_n) = \sum\limits_{n = 0}^{+\infty}\P(A_n)\)
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Propriétés des espaces probabilisés	Avec \( (\Omega, \mathcal A, \P) \) un espace probabilisé, - \( \P(\varnothing) = 0 \)  - Additivité finie: Pour \( A_1, \dots, A_n \) incompatibles, \( \P(A_1 \sqcup \dots \sqcup A_n) = \P(A_1) + \dots + \P(A_n) \)  - Croissance / différence : \( A \subset B \Rightarrow \P(A) \le P(B) \) , et \( \P(A\setminus B) = \P(A) - \P(B) \) . - \( \forall A \in \mathcal A, \P(A) \in [0,1] \)  - \( \forall A \in \mathcal A, \P(\bar A) = 1 - \P(A) \)  - \( \forall A, B \in \mathcal A, \P(A \cup B ) = \P(A) + \P(B) - \P(A \cap B)\)
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Continuité monotone	Pour toute suite \( \seq A_n \) croissante (au sens de l'inclusion) d'évènements,  \( \P(A_n) \ntoinf \P(\bigcup\limits_{n = 0}^{+\infty}A_n) \)  Pour une suite décroissante,  \( \P(A_n) \ntoinf \P(\bigcap\limits_{n = 0}^{+\infty}A_n)\)
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Continuité monotone pour les suites quelconques	Pour \( \seq A_n \) une suite quelconque d'éléments,  \( \P(\bigcup\limits_{k = 0}^n A_k) \ntoinf \P(\bigcup\limits_{n = 0}^{+\infty}A_n) \) , et  \( \P(\bigcap\limits_{k = 0}^n A_k) \ntoinf \P(\bigcap\limits_{n = 0}^{+\infty}A_n)\)
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Sous-additivité	Pour \( (A_i) \in A^I \) une famille au plus dénombrable,  \( \P(\bigcup\limits_{i \in I}A_i) \le \sum\limits_{i \in I}\P(A_i) \in [0, +\infty]\).
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Évènement preque sûr / négligeable	\( A \) est presque sûr ssi \( \P(A) = 1 \)   \( A \) est négligeable ssi \( \P(A) = 0\)
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Système quasi-complet d'évènements	Un système quasi-complet d'évènements est une famille au plus dénombrable d'éléments deux à deux incompatibles, d'union presque sûre.
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Union et intersections d'évènements négligeables et quasi-sûrs	- Une intersection au plus dénombrable d'évènements quasi-sûrs est quasi-sûre. - Une union au plus dénombrable d'évènements négligeables est négligeable.
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Distribution discrète de probabilité	Une distribution discrète de probabilité est une famille \( (p_\omega)_{ \omega \in \Omega} \) dénombrable de réels positifs, sommable de somme \( 1\).
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Probabilité associée à une distribution de probabilité discrète	Avec \( \Omega \) une union quelconque et \( (p_\omega)_{ \omega \in \Omega} \) une distribution de probabilité discrète, il existe une unique probabilité \( \P \) sur \( (\Omega, \prts (\Omega)) \) telle que:  \( \forall A \in \prts(\Omega), \P(A) = \sum\limits_{\omega \in A}p_w\).
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Probabilités discrètes et univers discret	Si \( \Omega \) est au plus dénombrable, toute probabilité sur \( (\Omega, \prts(\Omega))\) est discrète 
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Probabilité conditionnelle comme probabilité	 \( \forall B \in \mathcal A, \P_B \) est une probabilité sur \( (\Omega, \mathcal A)\).
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Probabilité conditionnelle	On appelle probabilité conditionnelle de \( A \) sachant \( B \) le réel noté \( \P_B(A) \) ou \( \P(A|B) \) défini par:  \( \P_B(A) = \P(A | B) = \frac{\P(A\cap B)}{\P(B)}\)
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Autre définition des probabilités conditionnelles	On peut écrire \( \P(A \cap B) = \P(B) \P_B(A)\)
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Formule des probabilités composées	Pour des évènements \( A_1, \dots, A_n \) tels que \( \P(A_1 \cap \dots \cap A_n) \ne 0 \) , alors  \( \P(A_1 \cap \dots \cap A_n) = \P(A_1) \P_{A_1}(A_2) \dots \P_{A_1 \cap \dots \cap A_{n - 1}}(A_n)\)
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Formule de Bayes	Avec \( A, B \) non négligeables,  \( \P_B(A) = \frac{\P(A) \P_A(B)}{\P(B)}\)
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Complémentaires d'évènements indépendants	Si \( A, B \) sont indépendants, alors  \( (A, \bar B), (\bar A, B), (\bar A, \bar B)\) aussi.
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Évènements mutuellement indépendants	\( (A_i)_{i \in I} \) sont mutuellement indépendants ssi  \( \forall J \subset I \) finie, \( \P(\bigcap\limits_{j \in J}A_j) = \prod\limits_{j \in J}\P(A_j)\).
Basique Maths	Seconde année::Mathématiques::Espaces Probabilisés	Indépendance mutuelle et indépendance deux à deux	Des évènements mutuellement indépendants le sont deux à deux. Réciproque fausse.
