#separator:tab
#html:false
#notetype column:1
#deck column:2
Primitive	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(x^\alpha, \alpha \in \mathbb C \backslash \{-1\}\)	\(\frac{x^{\alpha + 1}}{\alpha + 1}\)	\(\mathbb R^*_+\)
Primitive	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(\frac{1}{x}\)	\(\text{ln}|x|\)	\(\mathbb R^*\)
Primitive	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(e^{\alpha x}, \alpha \in \mathbb C^*\)	\(\frac{e^{\alpha x}}{\alpha}\)	\(\mathbb R\)
Primitive	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(\text{ln}(x)\)	\(x(\text{ln}(x)-1)\)	\(\mathbb R^*_+\)
Primitive	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(\text{sin}(x)\)	\(-\text{cos}(x)\)	\(\mathbb R\)
Primitive	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(\text{cos}(x)\)	\(\text{sin}(x)\)	\(\mathbb R\)
Primitive	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(\text{tan}(x)\)	\(-\text{ln}|\text{cos}(x)|\)	\(\mathbb R \backslash \{\frac{\pi}{2} + k\pi, k \in \mathbb Z\}\)
Primitive	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(\frac{1}{\text{cos}^2(x)} = 1 + \text{tan}^2(x)\)	\(\text{tan}(x)\)	\(\mathbb R \backslash \{\frac{\pi}{2} + k\pi, k \in \mathbb Z\}\)
Primitive	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(\text{sh}(x)\)	\(\text{ch}(x)\)	\(\mathbb R\)
Primitive	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(\text{ch}(x)\)	\(\text{sh}(x)\)	\(\mathbb R\)
Primitive	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(\text{th}(x)\)	\(\text{ln}(\text{ch}(x))\)	\(\mathbb R\)
Primitive	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(\frac{1}{\text{ch}^2(x)} = 1 + \text{th}^2(x)\)	\(\text{th}(x)\)	\(\mathbb R\)
Primitive	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(\frac{1}{1 + x^2}\)	\(\text{arctan}(x)\)	\(\mathbb R\)
Primitive	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(\frac{1}{\sqrt{1-x^2}}\)	\(\text{arcsin}(x)\)	\(]-1, 1[\)
Primitive avec u	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(u'u^\alpha, \alpha \ne -1\)	\(\frac{u^{\alpha + 1}}{\alpha + 1}\)	
Primitive avec u	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(\frac{u'}{u}\)	\(\text{ln}|u|\)	
Primitive avec u	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(u'e^u\)	\(e^u\)	
Primitive avec u	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(u'\text{ln}(u)\)	\(u(\text{ln}(u) - 1)\)	
Primitive avec u	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(u'\text{sin}(u)\)	\(-\text{cos}(u)\)	
Primitive avec u	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(u'\text{cos}(u)\)	\(\text{sin}(u)\)	
Primitive avec u	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(u'\text{tan}(u)\)	\(-\text{ln}|\text{cos}(u)|\)	
Primitive avec u	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(\frac{u'}{\text{cos}^2(u)}\)	\(\text{tan}(u)\)	
Primitive avec u	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(u'\text{sh}(u)\)	\(\text{ch}(u)\)	
Primitive avec u	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(u'\text{ch}(u)\)	\(\text{sh}(u)\)	
Primitive avec u	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(u'\text{th}(u)\)	\(\text{ln}(\text{ch}(u))\)	
Primitive avec u	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(\frac{u'}{\text{ch}^2(u)}\)	\(\text{th}(u)\)	
Primitive avec u	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(\frac{u'}{1 + u^2}\)	\(\text{arctan}(u)\)	
Primitive avec u	Seconde année::Mathématiques::Trigonométrie, développements usuels, Primitives usuelles::Primitives usuelles	\(\frac{u'}{\sqrt{1 - u^2}}\)	\(\text{arcsin}(u)\)	
