#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique Maths	Seconde année::Mathématiques::Variables aléatoires discrètes	Variable aléatoire discrète	Soit \( (\Omega, \mathcal A) \) un espace probabilisable et \( E \) un ensemble quelconque. \( X : \Omega \to E \) est une variable aléatoire discrète (V.A.D.) ssi: - \( X(\Omega) \) (l'univers-image) est au plus dénombrable - \( \forall x \in X(\Omega), X^{-1}(\{x\}) \in \mathcal A\).
Basique Maths	Seconde année::Mathématiques::Variables aléatoires discrètes	V.A.R.D./V.A.C.D.	Une variable aléatoire réelle (resp. complexe) discrète est une V.A.D. sur \( \R \) (resp \( \C\)).
Basique Maths	Seconde année::Mathématiques::Variables aléatoires discrètes	V.A.D. en tant que morphisme	Une V.A.D. est un morphisme d'espace probabilisables:  \( \forall A \in \prts(X(\Omega)), X^{-1}(A) \in \mathcal A \) , et  \( X: (\Omega, \mathcal A) \to (X(\Omega), \prts(X(\Omega)))\).
Basique Maths	Seconde année::Mathématiques::Variables aléatoires discrètes	Notations / Lecture des V.A.D.	\( X: \Omega \to X(\Omega) \) est dite variable aléatoire sur l'ensemble \( X(\Omega) \) .  \( (X=x) = X^{-1}(\{x\}) \) , et \( \forall V \subset X(\Omega), (X \in V) = X^{-1}(V)\).
Basique Maths	Seconde année::Mathématiques::Variables aléatoires discrètes	Composition avec une V.A.D.	Soit \( X : (\Omega, \mathcal A) \to E \) une V.A.D. et \( u : E\to F \) quelconque. Alors \( u \circ X \) est une V.A.D., notée \( u(X) \) , appelée image de \( X \) par \( u\).
Basique Maths	Seconde année::Mathématiques::Variables aléatoires discrètes	Loi d'une V.A.D.	Pour toute V.A.D. \( X \) sur un espace probabilisé \( (\Omega, \mathcal A, \P) \) , \( \P_X : \begin{array}{ll} \mathcal P(X(\Omega)) \to [0, 1] \\ A \mapsto \P(X \in A) \end{array} \) est une probabilité sur l'espace probabilisable \( (X(\Omega), \mathcal P(X(\Omega))) \) , appelée loi de la V.A.D. \( X\).
Basique Maths	Seconde année::Mathématiques::Variables aléatoires discrètes	Système associé à \(X\) et germe de \(\P_X\)	Soit \( X \) une V.A.D. sur \( (\Omega, \mathcal A, \P) \) . - La famille \( (X = x)_{x \in X(\Omega)} \) est un système complet d'évènements : c'est le système complet associé à \( X \) . - La loi \( \P_X \) de \( X \)  est uniquement caractérisée par la distribution de probabilités \( (\P(X = x))_{x \in X(\Omega)} \) , appelée germe de \( X \) . En particulier, \( \forall A \in \mathcal P(X(\Omega)), \P_X(A) = \P(X \in A) ) = \sum\limits_{x\in A}\P(X = x)\).
Basique Maths	Seconde année::Mathématiques::Variables aléatoires discrètes	Variables de même loi	\( X \) et \( Y \) ont même loi ssi \( \P_X = \P_Y \) (au moins sur leur support), noté \( X\sim Y \) . Pour \( \mathcal L \) une loi de probabilité, \( X\sim \mathcal L \) si \( \P_X \) a même germe que \( \mathcal L\).
Basique Maths	Seconde année::Mathématiques::Variables aléatoires discrètes	Probabilité associée à une distribution discrète	Pour toute V.A.D. \( X \) et distribution discrète de probabilité \( (p_x)_{x \in E} \) , il existe \( (\Omega, \mathcal A, \P) \) telle que \( (p_x)_{x \in E} \) est distribution élémentaire de \( \P_X \) : \( \forall x \in E, \P(X = x) = p_x\)
Basique Maths	Seconde année::Mathématiques::Variables aléatoires discrètes	Loi de \(u(X)\)	Soit \( X : \epse \to X(\Omega) \subset E \) , \( u : E \to F \) . La loi de \( u(X) \) a pour distribution élémentaire de probabilité:  \( \forall y \in u(X)(\Omega), \P(u(X) = y) = \P(X \in u^{-1}(\{y\}) = \sum\limits_{x \in u^{-1}(\{y\})}\P(X = x)\)
Basique Maths	Seconde année::Mathématiques::Variables aléatoires discrètes	Couple de V.A.D.	Soient \( X,Y \) deux V.A.D. sur \( \epab \) . Le couple \( (X,Y) \) est la V.A.D.:  \( (X,Y) : \begin{array}{ll} \Omega \to X(\Omega) \times Y(\Omega)  \\ \omega \mapsto (X(\omega), Y(\omega))\end{array}\).
Basique Maths	Seconde année::Mathématiques::Variables aléatoires discrètes	Loi conjointe / marginale	Soient \( X,Y \) deux V.A.D. sur \( \epse \) . La loi conjointe de \( X \) et \( Y \) est la loi \( \P_{(X,Y)} \) du couple. Les lois \( \P_X, \P_Y \) sont respectivement les première et deuxième lois marginales du couple \( (X,Y)\).
