#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique Maths	Seconde année::Physique::Introduction à la physique des ondes	Relation pression / masse volumique onde accoustique	Avec \( P_0, \mu_0 \) respectivement la pression et masse volumique au repos, et \( p(x,t), \mu(x,t) \) les écarts à ces valeurs:  \( p(x,t) = \frac{\gamma P_0}{\mu_0}\mu(x,t) \) , avec \( \gamma \) le coefficient de Laplace ( \( \frac{5}{2}\) pour un GP diatomique)
Basique Maths	Seconde année::Physique::Introduction à la physique des ondes	Relation masse volumique / déplacement onde accoustique	Avec \( \mu_0 \) la masse volumique au repos, \( \mu(x,t) \) le décalage par rapport à cette valeur, et \( \xi \) le déplacement par rapport à la position au repos:  \( \mu(x,t) = -\mu_0\frac{\partial \xi}{\partial x}(x,t)\)
Basique Maths	Seconde année::Physique::Introduction à la physique des ondes	TRD appliqué à la tranche d'air, ondes accoustiques	Avec \( \mu_0 \) la masse volumique au repos, \( \xi \) le déplacement et \( p \) la différence avec la pression au repos,  \( \mu_0\frac{\partial^2\xi}{\partial t^2}(x,t) = - \frac{\partial p}{\partial x}(x,t)\)
Basique Maths	Seconde année::Physique::Introduction à la physique des ondes	EDP du déplacement, onde accoustique	 \( \frac{\partial^2 \xi}{\partial x^2}(x,t) - \frac{1}{v^2}\frac{\partial^2 \xi}{\partial t^2}(x,t) = 0 \) avec \( v = \sqrt{\frac{\gamma P_0}{\mu_0}}\)
Basique Maths	Seconde année::Physique::Introduction à la physique des ondes	EDP du déplacement vertical, corde tendue	 \( \frac{\partial^2 y}{\partial x^2}(x,t) - \frac{1}{v^2}\frac{\partial^2 y}{\partial t^2}(x,t) = 0 \) avec \( v = \sqrt{\frac{T_0}{\mu}}\)
Basique Maths	Seconde année::Physique::Introduction à la physique des ondes	Équation d'onde de d'Alembert unidirectionnelle	 \( \frac{\partial^2 \psi}{\partial x^2}(x,t) - \frac{1}{v^2}\frac{\partial^2 \psi}{\partial t^2}(x,t) = 0\)
Basique Maths	Seconde année::Physique::Introduction à la physique des ondes	Onde plane	Onde dont la dépendance spatiale se ramène à une unique coordonnée cartésienne.
Basique Maths	Seconde année::Physique::Introduction à la physique des ondes	Forme des ondes planes solutions de l'équation de d'Alembert 1D	Les ondes planes de la forme:  \( \psi(x,t) = f_\oplus(u + vt) + f_\ominus(u - vt) \) , ou   \( \psi(x,t) = f_\oplus(t+ \frac{u}{v}) + f_\ominus(t- \frac{u}{v})\) Sont solutions de l'équation de d'alembert 1D.
Basique Maths	Seconde année::Physique::Introduction à la physique des ondes	Nature des solutions de l'EDA 1D	Les solutions de l'EDA 1D, qui sont des fonctions de la variable \( u - vt \) (resp. \( u + vt \) ) sont des ondes planes, progressives (OPP) qui se propagent sans déformation, dans la direction \( Ou \) dans  le sens des \( u\) croissants (resp. décroissants).
Basique Maths	Seconde année::Physique::Introduction à la physique des ondes	Vitesse de phase	Dans le cas particulier des ondes monochromatiques, la célérité \( v \) est appelée vitesse de phase, notée \( v_\varphi\).
Basique Maths	Seconde année::Physique::Introduction à la physique des ondes	Ondes stationnaires	En physique classique, on appelle onde stationnaire toute solution réelle, non constante, d'une équation d'onde, à variable séparées, c'est à dire de la forme \( \psi(M,t) = f(M) \times g(t) \) où \( f(M) \) est une fonction de l'espace uniquement et \( g(t) \) est une fonction du temps uniquement.
Basique Maths	Seconde année::Physique::Introduction à la physique des ondes	Solutions stationnaires de L'EDA 1D	Les solutions en ondes stationnaires de l'EDA 1D sont de la forme:  \( \psi(M,t) = \psi_0\cos(\omega t + \phi) \cos(ku + \theta) \) avec \( k = \frac{\omega}{v}\)
Basique Maths	Seconde année::Physique::Introduction à la physique des ondes	Formes des solutions selon le milieu	- Lorsque le milieu de propagation est illimité dans une direction, on recherche les solutions sous la forme ondes progressives dans cette direction. - Lorsque le milieu possède au moins un bord imposant une contrainte dans une direction, on recherche les solutions sous la forme ondes stationnaires dans cette direction.
Basique Maths	Seconde année::Physique::Introduction à la physique des ondes	Modes de cavité	Sur une corde dont les deux extrémités sont fixées, la norme du vecteur d'onde \( k \) et la pulsation \( \omega \) ne peuvent prendre qu'une suite de valeurs discrètes \( (k_n)_{n \in \mathbb N} \) et \( (\omega_n)_{n \in \mathbb N} \) telles que:  \( k_n = \frac{n \pi}{l} \) et \( \omega_n = k_nv =  \frac{n\pi v}{l} \)  à chaque valeur de \( n\) est associé un mode propre de la corde ou un mode de cavité.
Basique Maths	Seconde année::Physique::Introduction à la physique des ondes	Vecteur de Poynting associé à une OPPM	Le vecteur de Poynting associé à une OPPM se propageant dans le sens \( +\vec{e_u} \) est:  \( \vec\Pi(M,t) = ve_a(M, t)\vec {e_u} \)  Pour une onde se propageant selon \( -\vec{e_u} \) :  \( \vec\Pi(M,t) = -ve_a(M, t)\vec {e_u}\)
Basique Maths	Seconde année::Physique::Introduction à la physique des ondes	Vitesse de transport de l'énergie par l'onde accoustique	Dans l'air à la température \( T \) , l'énergie accoustique est transportée par les OPPM acoustiques à la célérité \( v = \sqrt{\frac{\gamma RT}{M_a}} \) dans le sens de propagation de l'onde, où \( M_a\) est la masse molaire de l'air.
Basique Maths	Seconde année::Physique::Introduction à la physique des ondes	Effet Doppler	Si une source se déplace en direction d'un détecteur, s'éloignant à la vitesse \( v \) (négative s'il s'approche) et émettant une onde à la fréquence \( f \) qui se déplace à la vitesse \( V \) , si \( V \gg v \) , la fréquence perçue par le détecteur est: \( f' = f \times (1 - \frac{v}{V})\)
