#separator:tab
#html:false
#notetype column:1
#deck column:2
Basique Maths	Seconde année::Physique::Ondes électromagnétiques et conducteurs ohmiques	Conductivité d'un conducteur ohmique aux oem	 \( \underline \gamma(\omega) = \frac{\gamma_0}{1 + i\tau \omega} \) , où \( \gamma_0\) est la conductivité en électrostatique.
Basique Maths	Seconde année::Physique::Ondes électromagnétiques et conducteurs ohmiques	Relation entre \(\underline {\vec j}\) et \(\underline {\vec E}\) dans un conducteur ohmique	 \( \underline {\vec j} = \underline \gamma \underline {\vec E}\).
Basique Maths	Seconde année::Physique::Ondes électromagnétiques et conducteurs ohmiques	Modèle du conducteur ohmique en régime lentement variable	Modèle où \( \tau \omega \ll 1 \) et \( \frac{\varepsilon_0 \omega}{\gamma_0} \ll 1\)
Basique Maths	Seconde année::Physique::Ondes électromagnétiques et conducteurs ohmiques	Relation de dispersion dans un conducteur ohmique en régime lentement variable	 \( k^2 = -i\mu_0\gamma_0\omega\)
Basique Maths	Seconde année::Physique::Ondes électromagnétiques et conducteurs ohmiques	Longueur caractéristique (\(\delta\))	 \( \delta = \sqrt{\frac{2}{\mu_0\gamma_0\omega}}\)
Basique Maths	Seconde année::Physique::Ondes électromagnétiques et conducteurs ohmiques	Vecteur d'onde selon la longueur caractéristique	 \( \vec k = \frac{1 - i}{\delta}\vec {e_u}\)
Basique Maths	Seconde année::Physique::Ondes électromagnétiques et conducteurs ohmiques	Modèle du conducteur parfait	modèle où le champ électrique au sein du conducteur est nul à tout instant. Il peut cependant ne pas être nul à une interface avec un autre milieu.
Basique Maths	Seconde année::Physique::Ondes électromagnétiques et conducteurs ohmiques	Courant au sein d'un conducteur parfait	 \( \vec j(M,t) = \vec 0\)
Basique Maths	Seconde année::Physique::Ondes électromagnétiques et conducteurs ohmiques	Distance caractéristique et conductivité pour un conducteur parfait	 \( \delta = \sqrt{\frac{2}{\mu_0\gamma_0\omega}} = 0 \) , on a donc \( \gamma_0 \to +\infty\).
Basique Maths	Seconde année::Physique::Ondes électromagnétiques et conducteurs ohmiques	Vecteur d'onde de l'onde réflechie à l'interface conducteur parfait-vide	 \( k_r = k = \frac{\omega}{c} \) , et \( \vec k_r = -k \vec e_u\)
Basique Maths	Seconde année::Physique::Ondes électromagnétiques et conducteurs ohmiques	Coefficient de réflexion en amplitude	Le coefficient de réflexion en amplitude est défini par:  \( \underline r = \frac{\underline E_r(\text {interface})}{\underline E_i(\text {interface})} = \frac{\underline E_{0r}}{\underline E_{0i}}\)
Basique Maths	Seconde année::Physique::Ondes électromagnétiques et conducteurs ohmiques	Coefficient de transmission en amplitude	Le coefficient de transmission en amplitude est défini par:  \( \underline t = \frac{\underline E_t(\text {interface})}{\underline E_i(\text {interface})} = \frac{\underline E_{0t}}{\underline E_{0i}}\)
Basique Maths	Seconde année::Physique::Ondes électromagnétiques et conducteurs ohmiques	Coefficients de réflexion et transmission en amplitude pour le conducteur parfait	Pour l'interface vide-conducteur parfait,  \( \underline r = -1 \) et \( \underline t = 0\).
Basique Maths	Seconde année::Physique::Ondes électromagnétiques et conducteurs ohmiques	Modes de cavité pour les ondes oem	Le vecteur d'onde d'une onde oem, dans une cavité vide de longueur \( L \) entre deux conducteurs parfaits, ne peut prendre qu'une suite de valeurs discrètes:  \( k_n =\frac{n\pi}{L}, n \in \mathbb N^* \) , de pulsation associée \( \omega_n = \frac{n\pi c}{L}\) Ce sont les mêmes modes que pour la corde
Basique Maths	Seconde année::Physique::Ondes électromagnétiques et conducteurs ohmiques	Onde réfléchie sur un conducteur parfait	Lors d'une réflexion dans le vide d'une oem PPM en incidence normale sur un conducteur parfait, l'onde réfléchie a même polarisation, amplitude, pulsation, des vecteurs d'onde de même norme et direction mais de sens opposés. L'onde réfléchie a un déphasage supplémentaire de \( \pi\)par rapport à l'onde incidente.
Basique Maths	Seconde année::Physique::Ondes électromagnétiques et conducteurs ohmiques	Onde réflechie sur un conducteur parfait et onde stationnaire	À incidence normale, la superposition des ondes réfléchies et incidentes conduit à la formation d'une onde stationnaire du côté du vide.
Basique Maths	Seconde année::Physique::Ondes électromagnétiques et conducteurs ohmiques	Réflexion d'une oem et courant à la surface	La réflexion d'une oem plane polarisée selon \( \vec e_p \) en incidence normale sur un conducteur parfait requiert l'apparition d'une densité surfacique de courant selon la direction \( \vec e_p\).
